A_CpG_ID	TCGA-W5-AA39-01A	TCGA-3X-AAVB-01A	TCGA-W5-AA2I-01A	TCGA-W5-AA38-01A	TCGA-W5-AA2G-01A	TCGA-4G-AAZO-01A	TCGA-W5-AA2X-01A	TCGA-W5-AA2Q-01A	TCGA-ZH-A8Y4-01A	TCGA-ZH-A8Y5-01A	TCGA-W5-AA2U-01A	TCGA-W5-AA34-01A	TCGA-ZH-A8Y1-01A	TCGA-ZU-A8S4-01A	TCGA-W5-AA2H-01A	TCGA-ZD-A8I3-01A	TCGA-W5-AA31-01A	TCGA-WD-A7RX-01A	TCGA-W5-AA2O-01A	TCGA-3X-AAVC-01A	TCGA-ZH-A8Y6-01A	TCGA-3X-AAVE-01A	TCGA-3X-AAVA-01A	TCGA-W5-AA2W-01A	TCGA-W5-AA2R-01A	TCGA-ZH-A8Y8-01A	TCGA-YR-A95A-01A	TCGA-ZH-A8Y2-01A	TCGA-W5-AA2T-01A	TCGA-W5-AA2Z-01A	TCGA-W5-AA30-01A	TCGA-W5-AA36-01A	TCGA-3X-AAV9-01A	TCGA-W6-AA0S-01A	TCGA-4G-AAZT-01A	TCGA-W5-AA33-01A
cg07170752	0.914196799610197	0.699729088847727	0.858249559545403	0.878031175100653	0.876683832839712	0.891730795547718	0.709844096938789	0.82415162934715	0.895953591686836	0.882738177438213	0.832294592270248	0.882232841870542	0.48821866297169	0.835455135696675	0.868001771851391	0.857303000244134	0.456012502541684	0.835474867442905	0.911344953923408	0.396672846603838	0.86727418138168	0.821598359259236	0.862456731252283	0.896297827362944	0.866627781661531	0.816395401421148	0.916734375252356	0.896042298931335	0.798829288985823	0.879092152272782	0.916912584720488	0.860482702689656	0.712366039544078	0.861870022889168	0.883542611096172	0.857995797444407
cg07221511	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07228905	0.716376607762874	0.699330911659262	0.775572502561871	0.648884404664669	0.790017145811214	0.894886974092262	0.627052409408145	0.727842391767906	0.804733181713433	0.901247121880553	0.867103782263723	0.757461126602253	0.730397570548464	0.685297909567766	0.604387487632638	0.635032592689877	0.714926288184269	0.625793639585625	0.77783309859215	0.72235312313311	0.794566324897925	0.666204036891041	0.80335702024065	0.864095762025133	0.669781326435896	0.614956050995099	0.857666560224588	0.449008983991284	0.819708453039763	0.765192232409942	0.657438429079612	0.756110365398164	0.630698672061126	0.588607453571999	0.846680608241348	0.628575005723544
cg07242196	0.975959509511484	0.977294155992927	0.9829915877316	0.977799476394733	0.976525452834037	0.981028098518817	0.762225794623695	0.982685193591537	0.985431942951887	0.985804187249916	0.989299532582903	0.979231092747741	0.983303634461669	0.987235929263816	0.977312990903754	0.977294993011064	0.972398711251455	0.980186276395736	0.986438554529426	0.473189566592841	0.985536484972819	0.97801402678786	0.990812683413721	0.988212215440426	0.984524235105144	0.978911936387764	0.985209213919389	0.984696760051127	0.984459794227194	0.979841408236921	0.980870045829608	0.980039355112386	0.979344853630582	0.987849238268974	0.982845713305755	0.979917574605953
cg07244523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07252846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07277465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07283015	0.940118923960037	0.94090821667433	0.963200792093154	0.927312446669771	0.937207262566114	0.960964591073779	0.737641310110111	0.939932432688874	0.920224886429983	0.943518539457496	0.949931950275791	0.906718917150343	0.945129675783422	0.747513601423383	0.951115291295868	0.946799550560817	0.87563019036877	0.95755056471686	0.929693122182097	0.872228918969861	0.729886285944465	0.916085342655625	0.958414138481712	0.9647697099935	0.961377944051307	0.843794771157343	0.959593524111547	0.835847336610158	0.934338571955121	0.93117515473366	0.921711650927412	0.95424578006437	0.892261477871428	0.933228660744266	0.964584828261971	0.934248635393361
cg07372195	0.916481059981056	0.907866877668148	0.936689218991221	0.893860409296214	0.948351476828007	0.955354410209477	0.865042998017859	0.916589594936253	0.93419263961872	0.965498175970794	0.966645863622705	0.937186356113992	0.893632939933568	0.964173550812387	0.915399915637162	0.868730537978976	0.925773587149982	0.901277693776959	0.94294329633561	0.914402318956417	0.954702486762727	0.937140577985984	0.965968196593401	0.961488290823024	0.912570153376271	0.926167755541534	0.959597693311656	0.952263974293407	0.944557589521286	0.950189016485236	0.876323490717324	0.941632731045826	0.897240574868637	0.949568860659934	0.949775224418589	0.939025580248627
cg07378405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07421068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07427559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07508429	0.758310644702861	0.491849559869348	0.628726306837489	0.70206173840755	0.833045124523599	0.907122053190695	0.801461174503852	0.484891096298766	0.862431601451645	0.907979666556226	0.916785495529637	0.799132616818133	0.554329400687684	0.795949829935384	0.755450782233963	0.595616632028727	0.611541374749043	0.636769730648943	0.87824159872607	0.681429279480822	0.6809666865312	0.642953958177986	0.91052389284835	0.923269193633069	0.69412543136821	0.744550944206018	0.91095582371403	0.79595730665518	0.849446613875407	0.810111478095614	0.518949168420531	0.757583790272149	0.651037763513731	0.754806738799763	0.789651944420117	0.716129013255424
cg07516965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07532159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07559427	0.908482883655431	0.915632475336253	0.955160860575659	0.935946735476005	0.96368432968368	0.963687746963745	0.884681845782984	0.938131599080823	0.945746214593317	0.955591361434806	0.957265204023668	0.968917624351202	0.956659985235011	0.932059351527974	0.95102521161063	0.946599773689012	0.933574029231386	0.950076681845089	0.947863588593734	0.941991951718927	0.958719750918799	0.954153705018229	0.945144144281497	0.960899277749124	0.948862504191853	0.943260865195983	0.969854041997537	0.604986724815673	0.926538727466024	0.956984822222357	0.89280670358361	0.93901426825293	0.945160689110237	0.948280262486907	0.961719266595637	0.9372246330096
cg07590638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07612889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07633119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07645858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07672509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07690202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07756562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07757454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07810671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07841357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07855322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07856387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07902406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07912810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07922521	0.932235364141563	0.889100385367678	0.93538140480546	0.919525501751381	0.900476500001612	0.959693537241895	0.927258248722885	0.953201554826647	0.926793482974082	0.943399205130075	0.91706018900214	0.926368227143838	0.939273826147007	0.932384252936823	0.634818558409331	0.923913083347431	0.865421677148716	0.888486670713784	0.958470046256514	0.89061094083934	0.937018575108865	0.928748359598721	0.90027630291518	0.937210670831386	0.766953805742248	0.872256797632366	0.934017263676117	0.94775769731052	0.950412350684639	0.933825138517665	0.805219675726371	0.942995829409877	0.785959648888611	0.914835103460522	0.900107728950246	0.850036956495241
cg07989373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07997387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08005007	0.856036907106054	0.838547812781928	0.836993740859233	0.861259025162774	0.810617124656013	0.88959205076861	0.723700022938434	0.84936348900173	0.909793150435515	0.879394243134315	0.847274365499773	0.880092649034763	0.841553765604474	0.870962228819191	0.912354922125595	0.89408001437096	0.811153071020824	0.837858224872625	0.869394296274592	0.80486884708077	0.806176846101627	0.835014622170012	0.888565386575053	0.824226682830803	0.885606466729669	0.809050145630707	0.892991704643773	0.679082012311554	0.87619632287712	0.82966890977006	0.835150329704677	0.825900270460505	0.861130386231738	0.822286399986502	0.873358224080173	0.876574577740191
cg08027643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08075677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08082390	0.858197364217813	0.954742762838671	0.942262563941411	0.899772480516237	0.851408788696573	0.950905191303464	0.95358600339312	0.930612200240922	0.958931049868076	0.956287275801969	0.943560000718111	0.825711630217578	0.939533704048171	0.917173188426555	0.941368765030437	0.925086918428142	0.893000644595224	0.941338407377631	0.688172342819689	0.934486972464353	0.652691854913946	0.949280466815284	0.955261693785198	0.945647943682534	0.944598780584546	0.916464626709272	0.937314376897726	0.56991883182304	0.938447071791656	0.945419779927909	0.916722999134896	0.789711054937317	0.946359041361981	0.921545932955569	0.952449555375495	0.954831997964357
cg08096684	0.938021637584112	0.483365234854706	0.955439382579659	0.951338056776668	0.948591513375137	0.97633233904041	0.379831913164896	0.966736340116665	0.965406083476747	0.978436038984526	0.978786802001371	0.951137924962422	0.95251427718782	0.971188507328608	0.965136885722086	0.962014698708153	0.530214813269576	0.921835453430651	0.962739405534812	0.58389023788549	0.465569934196291	0.949607148861893	0.981466328990467	0.964486274592249	0.957865880562722	0.949612643053187	0.977836682707198	0.4134079858842	0.977617183370722	0.590022638961404	0.95549592821501	0.970355856746924	0.672180110953717	0.96256269050164	0.972039982795777	0.959649393414809
cg08123100	NA	0.584841208178666	0.721362502642936	NA	0.689549231732294	0.86521810288653	0.696818741756933	NA	0.635491844862205	0.703723584530478	0.428411831293783	0.737574483207248	NA	0.74360728640941	0.845686788753554	0.84767453444428	0.612551273020931	0.725135813241784	0.784022932333929	0.794599680923384	0.314530981806675	0.680695697884545	0.929765788652597	0.784085998274574	NA	0.734208356552111	0.818603374151206	NA	NA	NA	0.72861824259986	NA	0.696921042288799	0.857468168950154	0.887644612952694	0.809829751932711
cg08158805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08170119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08177743	0.929203896119239	0.941145104771749	0.94152404548359	0.835756324920858	0.945859256536347	0.938553099681943	0.907045830428956	0.924549277563931	0.896635776805992	0.916767825226203	0.914509188807877	0.942496389895186	0.886069034876491	0.890541460832746	0.912283876151955	0.858070132407589	0.918668761443128	0.912162200018332	0.905508091462686	0.889666496200204	0.907746106511312	0.9407977027131	0.903895019941595	0.909457538899457	0.877346129385405	0.868674005045779	0.929211120343092	0.933600649021198	0.915404485128029	0.93437142359972	0.889469157974735	0.908270432309843	0.870510371608863	0.878013018287881	0.876098753686198	0.873596281608825
cg08222555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08237400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08254315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08278002	0.62793110664127	0.517675527307484	0.930247427440032	0.688890276610793	0.842782698766127	0.951641843281444	0.291111427385247	0.911777578592967	0.937090810163842	0.944800229668551	0.881871934358737	0.933181920340241	0.912645980992515	0.515814155162064	0.675999989887471	0.778037125013863	0.794590021761771	0.694804255129469	0.538734389733682	0.206230278643149	0.45140054716037	0.792463023711884	0.927465953801782	0.940658953541392	0.778347045580096	0.687123439901167	0.898392270429538	0.925929267032886	0.790079304266046	0.912956952075004	0.767757935104209	0.904886553408302	0.55302367249947	0.74781190891645	0.926161232842821	0.675027988880417
cg08338237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08356248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08371086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08373323	0.909911001319432	0.880203029583175	0.895005269584039	0.857376198491872	0.910973584267534	0.955413120219061	0.927550035588673	0.847233311748616	0.880881268544747	0.95932177424445	0.948039997287725	0.943058631940993	0.859376139457477	0.920422488617475	0.899239316850271	0.827870997021702	0.8184547033131	0.88287197856304	0.933143293846504	0.895661550225291	0.91468993436956	0.840494256485599	0.934548136540704	0.941135666426248	0.837398895831323	0.894693589639144	0.930427210345272	0.890867382730703	0.943133378854561	0.892585681144086	0.819170461574409	0.892709068667206	0.829744933892279	0.908567288280398	0.831147402370337	0.907530093636821
cg08454110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08458655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08488494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08509032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08547427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08593037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08596858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08670672	0.881878324613156	0.918820399364683	0.901061841734875	0.882119098536279	0.946291238033143	0.93425684610451	0.943937191970342	0.85361335696903	0.941022285263806	0.941894121661314	0.963251729138628	0.937627347133129	0.883597346386589	0.939401157972249	0.908312630526457	0.915799662469983	0.908726201853123	0.907425981065903	0.94464708492584	0.911823119879769	0.940757269912425	0.925041720600067	0.953073066498085	0.94427952828619	0.911998110321366	0.894449883326499	0.950590959687702	0.92771791776565	0.947070895562502	0.924362957898974	0.88270250332812	0.880276487739661	0.941321211317736	0.911166522680034	0.939276840787322	0.905554481862993
cg08694858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08714076	0.884204721717283	0.805329934349633	0.917024128562925	0.899396577002979	0.774198758003733	0.915789394951295	0.487034591321478	0.72655337572746	0.834603521518459	0.899560463818867	0.811869802412031	0.346718975060307	0.850105055642027	0.681283292521145	0.807478498516102	0.71879383400368	0.572868471976456	0.847684605182006	0.417928431161244	0.551250201045465	0.594004082680567	0.85444021635431	0.90380123390758	0.578648015964731	0.833110230000247	0.615856978001578	0.903577919919238	0.840788543299215	0.669628140681499	0.701028822977485	0.796878440554373	0.907443600039803	0.702227961714782	0.796639577305047	0.895555095515604	0.816294061412629
cg08773876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08786064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08789741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08796647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08804555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08829007	0.744955687716428	0.382366148408117	0.762134316530585	0.378980625612945	0.344121407147689	0.745881330494444	0.288135047829422	0.842776544137906	0.745234964922448	0.533374944127542	0.468557372764214	0.485243739428572	0.59277710994796	0.491346464134837	0.393315750599673	0.523013342625056	0.561142452712732	0.654839947697366	0.149124092405324	0.168736563428316	0.830652213945992	0.573128262344733	0.519014884554187	0.909259407577337	0.598726143653769	0.339965080744782	0.85724760496008	0.0625535733082392	0.106177708076744	0.644692315664513	0.572156919623242	0.122490657093849	0.438969301395168	0.313639920103663	0.798659258488022	0.49990849303163
cg08849542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08852035	0.899142222619248	0.921859824169903	0.892861270797183	0.892150094953541	0.948878826159176	0.940507341580384	0.955196307606428	0.91509110385464	0.949380092028627	0.940616601144646	0.934768397702841	0.949660816830466	0.896141434658936	0.910283598404254	0.878581916659128	0.916575474661946	0.938652969234307	0.921253555246435	0.913211204067024	0.889095885895662	0.918740984933819	0.915113437142059	0.937016571596359	0.939653423379373	0.895746768714963	0.894178423419512	0.937636836061557	0.915793323478442	0.931932812814334	0.923924901804008	0.892619764502952	0.939665818442667	0.924420750930339	0.891888932044735	0.927489812299448	0.909312009778999
cg08859406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08877035	0.0671714474133161	0.118556975700338	0.0583645934021429	0.0954322561819517	0.0353544488829005	0.0451229413522445	0.0567495665968924	0.0734451825397759	0.067543311440744	0.072413628693307	0.122591672537495	0.0616310642957524	0.0741072425830838	0.0550931879406031	0.0585168394025166	0.073095394087418	0.0552012381916621	0.0632098937561702	0.0481294824203756	0.0611181435535113	0.0556294249890173	0.049098238384989	0.304281245128294	0.0695663658808309	0.0912768195743956	0.0825541598601396	0.150016843151139	0.0624786740156543	0.137152557420219	0.0451731682235239	0.0947921697351613	0.0699386165458112	0.0447853689602618	0.063663743462045	0.0404627202350591	0.110518799844855
cg08885316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08897010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08900656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08919528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08941098	NA	0.466013795102051	0.711670577416642	0.600606259358891	0.4712417548973	0.89049443704744	0.323878971637008	NA	0.395294480447992	0.775117967137128	0.858371185915187	0.512564533460186	0.64653845830074	0.726365541453653	0.736745871761075	0.673192342244046	0.596446726906433	0.687084656773863	0.848646040268115	0.219806558853459	0.584135384251856	0.689322082884688	0.688244872476698	0.893374825345052	0.664317468525761	0.744836447965156	0.890142712579456	NA	0.839046776481247	0.778290691979947	0.571945800568607	NA	0.58182739880146	0.73329597105669	0.625395115863204	0.5674228973977
cg08979870	0.301181871307496	0.624785243881432	0.9174202295551	0.796653112457581	0.871352223981807	0.839168584446441	0.267372680823585	0.306431699609037	0.762011888913309	0.912918290121	0.486124802448401	0.350056835224313	0.556478947114671	0.792045311041764	0.873664074168835	0.608523571061994	0.538575961555797	0.624320185021059	0.292280202857418	0.626166111524885	0.434400097610372	0.902456435635108	0.792195975328419	0.932436908167791	0.873837229043793	0.515139824469225	0.862804399943889	0.855262396086868	0.24917992375788	0.82294658302244	0.623199935282979	0.157871803569686	0.688307142049895	0.486375994563294	0.928053776609124	0.876262240815213
cg08982952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08996709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg09003326	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg09067990	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg09078643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
