A_CpG_ID	TCGA-FF-8061-01A	TCGA-FA-A7DS-01A	TCGA-RQ-A68N-01A	TCGA-GS-A9TQ-01A	TCGA-FA-A4XK-01A	TCGA-FF-8046-01A	TCGA-FA-A6HO-01A	TCGA-FF-A7CW-01A	TCGA-G8-6325-01A	TCGA-G8-6324-01A	TCGA-GS-A9TW-01A	TCGA-GR-7351-01A	TCGA-GR-A4D9-01B	TCGA-GR-A4D6-01A	TCGA-GS-A9U4-01A	TCGA-FF-8062-01A	TCGA-GS-A9TV-01A	TCGA-FA-A4BB-01A	TCGA-RQ-A6JB-01A	TCGA-GS-A9U3-01A	TCGA-FM-8000-01A	TCGA-FA-A82F-01A	TCGA-GS-A9TT-01A	TCGA-VB-A8QN-01A	TCGA-FF-8047-01A	TCGA-GR-A4D4-01A	TCGA-GS-A9TZ-01A	TCGA-FF-8042-01A	TCGA-FF-A7CQ-01A	TCGA-FF-A7CR-01A	TCGA-GR-A4D5-01A	TCGA-G8-6326-01A	TCGA-FF-8041-01A	TCGA-G8-6906-01A	TCGA-GS-A9TY-01A	TCGA-FF-A7CX-01A	TCGA-FA-8693-01A	TCGA-GS-A9TX-01A	TCGA-FA-A6HN-01A	TCGA-G8-6907-01A	TCGA-GS-A9TU-01A	TCGA-FA-A7Q1-01A	TCGA-RQ-AAAT-01A	TCGA-G8-6909-01A	TCGA-GR-7353-01A	TCGA-G8-6914-01A	TCGA-FF-8043-01A	TCGA-FA-A86F-01A
cg07516965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07532159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07559427	0.932928350516428	0.955829818827961	0.931905289690504	0.955373186037536	0.937361067125961	0.9582886308605	0.952821504878947	0.93791374144078	0.957382995062025	0.937604988209947	0.958133855548867	0.968132752141903	0.940765602906996	0.955469083259853	0.95847414550216	0.921786105444137	0.960102348423791	0.95423121404806	0.951360814120969	0.948862885098609	0.944687935307081	0.949139926428136	0.955575823001167	0.911590477907769	0.953144583432039	0.947232961583026	0.950249925238872	0.913692311425626	0.956609862026001	0.965684914994087	0.938812154128339	0.933154382171562	0.958893013484996	0.95743707101551	0.929272698163736	0.956683038773854	0.961551171648418	0.95351519003657	0.924978813284358	0.940374675930466	0.963624563988182	0.95617629559082	0.952604032816599	0.94243769994095	0.952516734059904	0.955379440250617	0.642561561285996	0.943932954918374
cg07590638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07612889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07633119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07645858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07672509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07690202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07756562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07757454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07810671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07841357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07855322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07856387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07902406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07912810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07922521	0.915736836836207	0.285374368308947	0.368860731517347	0.262641963794505	0.266819409209247	0.392123297732118	0.493121520679361	0.651601207480142	0.609692829736964	0.834071914905439	0.485650161580111	0.434945218622031	0.35740953842942	0.465067904220238	0.748993779163041	0.437368262441641	0.740655564860322	0.623843282721054	0.306517361225917	0.501956725049665	0.235758531284078	0.318502720262758	0.114237702231872	0.664816474526083	0.160477276606767	0.401454260216655	0.47010068050907	0.262039347597916	0.431352836455902	0.513910474184233	0.65031917305611	0.775260730289905	0.360225695136538	0.209742823763282	0.478261442506961	0.877349067614514	0.452068026064586	0.585153911905782	0.559751134449787	0.121057780257757	0.454365785405623	0.526626066930725	0.354264749787377	0.414130842926697	0.514084999796376	0.881535186492681	0.227373943490677	0.737022072083686
cg07989373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07997387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08005007	0.910699979454337	0.863880876873214	0.821644975289559	0.931794826289297	0.827220859091242	0.912620262461273	0.875884360551746	0.908219053551429	0.863165971212127	0.896416058639114	0.89610603627892	0.89067782557445	0.896548007829095	0.80457076915592	0.861185378135632	0.82065735760163	0.912745093164037	0.827098921753568	0.928983487757979	0.864544670764237	0.854538959028451	0.932044842570944	0.908289523431296	0.859925601261778	0.931807054097652	0.865826895118093	0.886618629175349	0.915118991553087	0.978922576273555	0.847768544556811	0.865917645208338	0.883258424633081	0.896513291653674	0.883223017874202	0.901866075965748	0.916488746268414	0.794388250717737	0.904929327507696	0.765123684798968	0.921718422006061	0.92722587067212	0.897333753763282	0.926065734791364	0.810651677740499	0.726447661444993	0.859441293521848	0.765097983441313	0.892500697456953
cg08027643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08075677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08082390	0.939586684160338	0.96072505424935	0.945633003077581	0.946923907640044	0.936564777765305	0.953728050327459	0.94962739035895	0.952234321064963	0.960741460896453	0.965760065301018	0.867977937162291	0.949762346681428	0.959105774213574	0.949865532187786	0.936524280985694	0.933099818906798	0.92465267593721	0.944657286430404	0.947753532519437	0.940177951299351	0.95201861002146	0.93394058851136	0.939182053889545	0.948946219044558	0.950542924582125	0.950306197656755	0.938572148930656	0.950624831430995	0.904612360799541	0.941974421239746	0.949051521143779	0.943704185854834	0.946574985147165	0.94873099486295	0.94625940606108	0.9502919838391	0.947821668166866	0.960810992749674	0.932432890529021	0.948263787628745	0.939793679617446	0.688381793351153	0.925527093367032	0.951050261373585	0.908606520126694	0.943663226997537	0.74028075146947	0.942353806500122
cg08096684	0.975771448205358	0.525655762239423	0.967702248664835	0.971004532329804	0.967711104010646	0.975681931574062	0.971552592456124	0.962515719180599	0.973084317733762	0.970620550197591	0.968691466581007	0.971798931591015	0.973768058661729	0.969988794374824	0.962013691110514	0.979360035562479	0.939838939253267	0.969572633370266	0.970874785002739	0.961816154892967	0.976010511310727	0.946613174841321	0.968630082981808	0.964970880743956	0.969270460162211	0.971570848453708	0.960577856320312	0.9732420389637	0.954878662368008	0.965342688270346	0.974159566366872	0.97352873862021	0.974338938474483	0.974008815990405	0.966692904337228	0.971265474390682	0.974484829319227	0.965216441938217	0.51104361379322	0.97834765756028	0.974089146000158	0.538627038945384	0.972802937730711	0.980606198100915	0.971719838552197	0.972923337084376	0.96094510051265	0.966899539885894
cg08123100	0.898306758462867	0.924008380436393	0.653371216860961	0.858814408868257	NA	0.930097921654809	0.622097689893175	0.656974689987785	0.915908676171668	0.905658251450527	0.847742099830573	0.916638093338001	0.875785539885358	0.77353459233558	0.894407808625738	0.92604369381956	0.828895347268995	0.889574768651691	0.722558086033671	0.769313754257317	0.660111780711266	NA	0.492565846016392	0.649049551021697	0.894133220281725	0.770730768018331	0.920809367425055	NA	NA	NA	0.886080222700381	0.922782757560778	0.919337108621435	0.908839919131895	0.950417933863033	NA	0.834474191878838	0.914131696326366	0.673894346813629	0.630505920115584	0.947777755006182	0.629364899091508	0.868955111723173	0.859660751731132	0.863144197669828	0.617890473112353	NA	0.889798899313777
cg08158805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08170119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08177743	0.907685539918696	0.547662399705894	0.811484188664082	0.471348169676711	0.241205034944262	0.919704868482627	0.929532265882085	0.853494028806218	0.934206463469007	0.942387913252968	0.535420583923008	0.889950111357661	0.86747257551959	0.937802427900032	0.87626386379816	0.532840274845068	0.843721630770467	0.733272960024909	0.33810386569948	0.691435761956643	0.257567328691157	0.455887181635447	0.117457925521242	0.670720040592107	0.954490287049949	0.947906906058047	0.441208538353509	0.65689844113132	0.409830937095827	0.721909414008379	0.773981862262606	0.914001832459721	0.525454745958467	0.205458372080281	0.876867430264879	0.920231674872197	0.691746407643271	0.7752680788416	0.710148499269313	0.588292741638465	0.915025791983309	0.900500299642373	0.21993433489089	0.911204957144004	0.942188831462761	0.696118435410074	0.333083057458114	0.775296648068046
cg08222555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08237400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08254315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08278002	0.122301164695545	0.186685771531152	0.215662292811627	0.090439048100112	0.0900258051996389	0.358048355023176	0.325671100442685	0.340933614017259	0.639610112871215	0.591020520837018	0.311910980411069	0.299954542832803	0.242544631318822	0.337049210404346	0.604274867589663	0.463855709456796	0.825903188752756	0.538147541738986	0.188998218674608	0.423118395563208	0.0775574676011535	0.29991103218086	0.0785038904091581	0.313966139299564	0.152883912883313	0.47072492784436	0.302044061929574	0.110992081249959	0.309990737029023	0.338675287476313	0.529286245481854	0.594704452496253	0.255425425843321	0.0959936988585684	0.138769038826934	0.0664806769509312	0.432178622690783	0.515452275230785	0.386006412141803	0.0605504096719248	0.43588978301953	0.0713701081224936	0.150070657316222	0.261743440399491	0.634602587876256	0.45559813286728	0.159362310344186	0.497743182565862
cg08338237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08356248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08371086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08373323	0.946213213511269	0.900266545461101	0.91824195349047	0.332909931993142	0.876860263794438	0.441401068254212	0.930617129248733	0.923670207556153	0.938002542971675	0.943577738599686	0.494946473551912	0.952541592085112	0.397418004859746	0.92320295891801	0.875839303003459	0.887189664416209	0.904524186104486	0.802425751792455	0.932507351935144	0.935221785484386	0.27987135679438	0.88533688455652	0.929042029907873	0.916293392126759	0.947801932921973	0.923460527470155	0.775874484757965	0.266830467554756	0.742410296906149	0.753410196282016	0.945492903951868	0.897601878551293	0.943270407506069	0.949267110401465	0.942760582363065	0.67758901243796	0.800000504731094	0.908677458352991	0.932156877433402	0.567662004095668	0.934759708312382	0.626830834170575	0.942347043372558	0.933709649405822	0.955250550720105	0.856231773102497	0.752412585833152	0.890829353030844
cg08454110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08458655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08488494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08509032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08547427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08593037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08596858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08670672	0.881545239028295	0.803877256530849	0.948724444163028	0.941956727098658	0.922808345699044	0.926950869717265	0.922239804246368	0.94233482662201	0.925374385006704	0.940522709394861	0.93091575397462	0.931710187915603	0.936426933018983	0.943874746955392	0.940978773567173	0.926368532515135	0.92489315066481	0.917838089771705	0.921243516266317	0.899319798275419	0.913998496996697	0.939223781055059	0.921094122415668	0.925215467817112	0.934266859377012	0.934241243747125	0.929005236206146	0.916432398165962	0.91272972200261	0.942745587932378	0.912638123376109	0.906155690301381	0.909868646687491	0.926853196565763	0.948007022521852	0.936802864706654	0.936096447691836	0.951994332647931	0.938561370478613	0.936621851123548	0.938866984280327	0.932226552317632	0.91782819341792	0.922890993812462	0.878694980642898	0.908680300462898	NA	0.935173054221707
cg08694858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08714076	0.842147502573156	0.814759649323487	0.617175720529964	0.404655327725758	0.416463510459184	0.491368383784833	0.585143975015318	0.656232408670397	0.84385614085408	0.694923045328081	0.68454193024936	0.501545461278037	0.570192394138036	0.842433995997068	0.620766469278541	0.680459965358276	0.865525802134818	0.798383799620922	0.292360933227012	0.620003986103029	0.305120208573771	0.616941053258815	0.872727725868296	0.839514552357846	0.844731686657748	0.555486598370099	0.892520391618794	0.873336699236261	0.657170430592538	0.521182058784153	0.725771199481513	0.783277094740191	0.869938019476177	0.734720644172531	0.638311102293232	0.909603164150803	0.672103407823083	0.788629986190703	0.52339100808988	0.255967038773706	0.511875686361686	0.229996825072446	0.798289381102266	0.518767153171527	0.383744521833965	0.534352660042289	0.233637354686343	0.734625429578672
cg08773876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08786064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08789741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08796647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08804555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08829007	0.914241112042892	0.149009317429087	0.164527205607986	0.123933447993566	0.0946326909637829	0.311603673343437	0.372507221779183	0.322238459718872	0.475510652042018	0.390328005130213	0.223319816048548	0.760780940565172	0.251473793084557	0.279076549726316	0.610090099160718	0.472543822672836	0.473098108805286	0.253403009944131	0.134993512604787	0.229167873589961	0.0812454591721017	0.211932027716396	0.0452649679527274	0.411405946548344	0.146586240717537	0.324271045169591	0.278186080693838	0.424163341732322	0.303152505646523	0.282751781713757	0.350648192793009	0.467254131186575	0.192074875860607	0.0933323716883133	0.549407990476089	0.125240104830037	0.462192703388453	0.345254906955399	0.421514802195716	0.0671900326223811	0.24061789867977	0.151799743638379	0.15495762676055	0.275486731511575	0.481886358031165	0.255274925270905	0.0648078342451885	0.38976118214066
cg08849542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08852035	0.911043663055434	0.779417349074737	0.794615610533144	0.903591186144864	NA	0.924617269910226	0.797436499884134	0.856211681019697	0.913024414655363	0.891864708666528	0.905588573266426	0.90599593134827	0.615445756177329	0.84285901457664	0.876259496647253	0.907330608269726	0.886762726049735	0.88623625350283	0.788623437869599	0.888683079209222	0.761149686786209	0.719384738745708	NA	0.898458587466746	0.919901663078906	0.908264743601513	0.91386827892198	0.662175715295795	NA	0.72304779117829	0.829715735789419	0.870372261611201	0.897178729440184	NA	0.871358038704923	0.776464695539616	0.9167653378099	0.927422935482153	0.887546174562818	0.776066084052169	0.910671524003593	0.931550340872459	0.873250990287611	0.86018744100676	0.921319237040703	0.905721778574403	NA	0.897914663106085
cg08859406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08877035	0.693225691300237	0.0398935707628359	0.0477092346919495	0.10303241220876	0.440292288241575	0.193920172128753	0.0576211330269592	0.044054923550663	0.0429283444401803	0.0569149305766755	0.0497278413770285	0.436765205577883	0.0382200741249997	0.0699862740280881	0.0815841088672691	0.0799225188339646	0.0400950046699602	0.0341617995422234	0.0540986055502053	0.0581992471193382	0.0463468744259515	0.0631319491386597	0.0498706947661464	0.0365209149691047	0.518562291976726	0.02599800156743	0.0518438057911073	0.0460485653856889	0.0504341260164431	0.0413743448702444	0.0583921841157196	0.0452260172433699	0.0506064210883923	0.0785592081495214	0.354622503849307	0.79381581847699	0.375251553406144	0.0688533958360938	0.0373772067342152	0.0454973652611752	0.0526045059235657	0.40158729389739	0.472434413946579	0.0757623880467995	0.0496919027499758	0.0969599297952239	0.0527332073995928	0.0558566068847951
cg08885316	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08897010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08900656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08919528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08941098	NA	NA	NA	NA	NA	0.723174412831368	0.831208391335098	0.597548726509548	0.728357437286779	0.84374575111212	NA	NA	NA	0.903920363706412	0.84995393669484	NA	0.820578636267624	0.792956521535229	NA	NA	NA	NA	NA	0.830269160804774	NA	NA	NA	NA	NA	0.71615850045736	NA	0.819688508620977	NA	NA	NA	NA	0.790000875033782	0.825950347058706	NA	0.175382907776992	NA	NA	NA	0.809585792535239	0.837990550755079	NA	NA	0.798479978451437
