A_CpG_ID	TCGA-MQ-A4LP-01A	TCGA-TS-A7P3-01A	TCGA-LK-A4O0-01A	TCGA-3H-AB3S-01A	TCGA-LK-A4NW-01A	TCGA-3H-AB3L-01A	TCGA-SH-A7BC-01A	TCGA-LK-A4O6-01A	TCGA-SH-A7BH-01A	TCGA-SC-A6LM-01A	TCGA-TS-A7OZ-01A	TCGA-ZN-A9VW-01A	TCGA-SH-A9CU-01A	TCGA-LK-A4NY-01A	TCGA-SC-AA5Z-01A	TCGA-XT-AASU-01A	TCGA-3H-AB3O-01A	TCGA-SC-A6LQ-01A	TCGA-3U-A98I-01A	TCGA-MQ-A6BN-01A	TCGA-NQ-A57I-01A	TCGA-UT-A88D-01B	TCGA-UD-AABY-01A	TCGA-3U-A98F-01A	TCGA-MQ-A4LI-01A	TCGA-UD-AAC5-01A	TCGA-YS-A95B-01A	TCGA-UD-AAC4-01A	TCGA-MQ-A4LM-01A	TCGA-MQ-A6BS-01A	TCGA-MQ-A4LV-01A	TCGA-3H-AB3K-01A	TCGA-TS-A8AY-01A	TCGA-UD-AAC1-01A	TCGA-MQ-A6BL-01A	TCGA-3H-AB3T-01A	TCGA-3U-A98H-01A	TCGA-LK-A4O7-01A	TCGA-TS-A8AI-01A	TCGA-TS-A7P8-01A	TCGA-UD-AABZ-01A	TCGA-UD-AAC6-01A	TCGA-UT-A88G-01B	TCGA-LK-A4O5-01A	TCGA-ZN-A9VS-01A	TCGA-TS-A7P6-01A	TCGA-UT-A88E-01B	TCGA-TS-A8AS-01A	TCGA-ZN-A9VO-01A	TCGA-UT-A88C-01B	TCGA-MQ-A4LJ-01A	TCGA-TS-A7P7-01A	TCGA-UT-A97Y-01A	TCGA-YS-A95C-01A	TCGA-LK-A4NZ-01A	TCGA-SC-A6LP-01A	TCGA-3U-A98E-01A	TCGA-MQ-A4LC-01A	TCGA-ZN-A9VP-01A	TCGA-3H-AB3M-01A	TCGA-SH-A9CT-01A	TCGA-NQ-A638-01A	TCGA-SC-A6LN-01A	TCGA-YS-AA4M-01A	TCGA-LK-A4O4-01A	TCGA-UD-AAC7-01A	TCGA-MQ-A6BR-01A	TCGA-TS-A7OY-01A	TCGA-TS-A7P1-01A	TCGA-MQ-A4KX-01A	TCGA-LK-A4O2-01A	TCGA-SH-A7BD-01A	TCGA-TS-A7OU-01B	TCGA-3U-A98J-01A	TCGA-TS-A8AF-01A	TCGA-SC-A6LR-01A	TCGA-3U-A98G-01A	TCGA-3H-AB3U-01A	TCGA-3U-A98D-01A	TCGA-3H-AB3X-01A	TCGA-TS-A7PB-01A	TCGA-ZN-A9VV-01A	TCGA-MQ-A6BQ-01A	TCGA-TS-A7P0-01A	TCGA-TS-A8AV-01A	TCGA-ZN-A9VU-01A	TCGA-ZN-A9VQ-01A
cg02341729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02345638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02348876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02356223	0.899307364956633	0.854212548676664	0.873824328102293	0.913508581393825	0.816830877328523	0.733600141751879	0.921379264089219	0.883005357779811	0.868378765237717	0.894714378155708	0.764684556964882	0.877010052177449	0.839292947219727	0.90250261819187	0.889335813972287	0.814835371845392	0.818319818971379	0.855877420791332	0.84680918018171	0.92956109628435	0.829340505087779	0.905387034459106	0.8948754828384	0.927844419649209	0.915910538942539	0.908573293930282	0.926673944639065	0.91587278713434	0.876616516616961	0.903441801251925	0.904529374631868	0.928428019266456	0.908842429707659	0.896969793700029	0.861862022816639	0.883622159145392	0.889209244542334	0.923631214067878	0.876257434529541	0.904235113927549	0.890924295440464	0.908823003865265	0.919714767608967	0.897037797163138	0.857443891605574	0.913366752489833	0.929305868049707	0.796658567649036	0.879413002026689	0.882513762450428	0.929994253374092	0.906142863277036	0.751484432388746	0.913185136939954	0.820570608159036	0.868527698903943	0.904216665154319	0.909439991851199	0.497534545677416	0.926284544258734	0.913758179553466	0.921829164828411	0.922008850641623	0.903898679164254	0.783215876761567	0.860660639696157	0.901102261646588	0.899318695106993	0.912091531594486	0.889205759181885	0.900302097232329	0.952933254912874	0.934777909556659	0.904538246225814	0.929893252397547	0.852594873771855	0.720200598458089	0.884199827895926	0.874345249737321	0.945068639047644	0.89447084053097	0.926276029160209	0.912782169139949	0.836950860614772	0.816777726305282	0.934944350853208	0.889312765112115
cg02397533	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02401554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02443010	0.95335386011334	0.908944820414521	0.949470350434619	0.945869970298706	0.535221148305316	0.86534532072353	0.834364567991313	0.945494208044998	0.846446380538395	0.95105556059752	0.913215688152926	0.946729710086624	0.832069900282678	0.791302845428568	0.874746922114549	0.937969836777149	0.929769227663352	0.948233558146002	0.944722905911179	0.912705140275939	0.939468095828122	0.882425393130962	0.923637537778382	0.931275674703949	0.932466931323749	0.943722535099305	0.804835587055521	0.935853153065775	0.947480694071739	0.952507420395079	0.95694503090954	0.938863914552397	0.944096194786806	0.64850763491146	0.929380886096338	0.938544616869128	0.933384177084819	0.679740642836761	0.926750137849149	0.937089662413026	0.927663822276287	0.926096138046963	0.71961943448603	0.929515831039884	0.932569778133104	0.703641162337106	0.925261036560586	0.937691226564755	0.937883205790193	0.932226114304318	0.749589524436944	0.951531982533306	0.922512079054619	0.942487677270004	0.944518285341323	0.941271562795188	0.91990214322306	0.948269351012058	0.358539650697563	0.929377105632151	0.943816048150465	0.713913716809161	0.93196417867179	0.939415944912178	0.928720172495597	0.848642356605218	0.937809896242198	0.874876548925996	0.948662960514198	0.952896817191665	0.952311320638998	0.924021499126825	0.94527899489377	0.663282625298216	0.940111528452793	0.776311784769756	0.88169213028175	0.922510113155117	0.834697208665182	0.509944174725528	0.950774255928214	0.94402920795024	0.939297735467014	0.678549742382825	0.936671969435555	0.918873738472714	0.91101590851177
cg02471166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02516800	0.944027388417548	0.871806022475103	0.946580948317262	0.867996136759281	0.555892865063334	0.531789980240308	0.948490356206579	0.808864563216188	0.905313935251358	0.559179368356219	0.473036748791451	0.946675919966363	0.910509946702999	0.643830204929736	0.688215282798715	0.910585354071321	0.939344537324621	0.933718104692847	0.720164453821025	0.88806079103883	0.947087608255047	0.865090765869711	0.862146897095933	0.863457865113098	0.822249730365721	0.947324496963798	0.856579479118416	0.815958591732303	0.948432561906313	0.670942567949837	0.943029270948789	0.949425271090991	0.944215195404428	0.934606398150726	0.861578850857377	0.836532023326349	0.870951014565328	0.939636312897211	0.925398086962726	0.945387991932695	0.722287403073705	0.515768968069832	0.941482767423575	0.928021733823396	0.377498200479873	0.744906500061982	0.910979935682935	0.936210579086927	0.697142622552915	0.892139715204908	0.73871005791656	0.563549186582761	0.805199258511141	0.930264683713301	0.902187307274725	0.877820836707214	0.905453550978119	0.912876222407607	0.284041000156714	0.831229721955563	0.917608713874689	0.806818740215368	0.925430959718364	0.89237627334561	0.924419050825326	0.574930136904279	0.944172781619044	0.905099072009752	0.68778351610058	0.935403742750211	0.920402883525507	0.439492521638508	0.912706147083532	0.943425502267955	0.904132159076178	0.780440213288593	0.853103756114284	0.933558123389512	0.380863525964195	0.48982932780344	0.921876333148236	0.900835151271675	0.62182029253821	0.883049139565962	0.932541357489376	0.565388336306109	0.247353358510019
cg02533998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02612657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02656873	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02658551	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02671915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02693279	0.917875947933535	0.947058305962513	0.92805471681998	0.938913552108512	0.921039475541666	0.939117341245497	0.95172016358165	0.969054784682604	0.947287042639382	0.938408967848737	0.904886820535429	0.8979978652944	0.944804190282348	0.957970025943598	0.937990513745555	0.915204430429222	0.855263333821053	0.958603247102647	0.932786811219099	0.951446568232521	0.941503330597971	0.927023238734465	0.951292304897179	0.952242584088606	0.949224253258092	0.951265764121505	0.945893214967402	0.934080198380942	0.926190124662328	0.947612786688186	0.915675178118024	0.921769923730482	0.895910540843964	0.940409771871184	0.823595526312665	0.909649053668637	0.865512786063673	0.958274570141074	0.937225151465191	0.959529867744294	0.939077913756834	0.931143179701767	0.951252975270076	0.934529157665381	0.946437015431241	0.950022775451192	0.925556104571828	0.905040371904817	0.939577782903022	0.95175863881881	0.956413950516349	0.954252014036535	0.919139872520346	0.941469008536851	0.927390372215699	0.957890774384043	0.940421521992177	0.944111732734771	0.848005095618452	0.928866010672437	0.933124589859731	0.950713077443447	0.904243377961077	0.929314312128954	0.928385457416691	0.925622272813227	0.940381927609517	0.92579692702426	0.936946472101718	0.929349060527962	0.94074588678777	0.965422485721533	0.941612407094633	0.951505324505042	0.908869007507007	0.837045328591508	0.866102362675561	0.918388034521661	0.925375442178982	0.928290675234352	0.950430056452878	0.96101101520951	0.949996776612762	0.948328776690528	0.852778042614069	0.931498985744538	0.954229594912214
cg02703695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02724815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02744713	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02750728	0.959803533656164	0.801215519803304	0.920365675732725	0.611431311821275	0.93560268365833	0.892284422008346	0.84417708753353	0.801196374168206	0.937852954936098	0.918781393016911	0.935183208684742	0.944125992858139	0.613263859497304	0.749690013405702	0.806342333560651	0.568341103165762	0.908966534768489	0.78240036020585	0.936222328151133	0.720479528498812	0.948176206754811	0.94394267072105	0.938259065096216	0.930135839116176	0.960029600190586	0.763663296270664	0.946547762323487	0.955575644419709	0.925966841426507	0.954709686446286	0.939829684244177	0.946710877195492	0.952306969552049	0.943795737622233	0.92625194505719	0.938071272618687	0.940928491000145	0.953353077478799	0.92876591297861	0.950170442577235	0.818281535116829	0.941493955240702	0.938085836582317	0.739193559041739	0.9588752122799	0.867093888111201	0.39465883659643	0.941622331123617	0.955769781079925	0.923047042858725	0.967393473322551	0.945985546852673	0.880159777697373	0.950595530017699	0.881095901142202	0.945237164922211	0.956110277253911	0.701581949513027	0.949218197082382	0.4848871161103	0.950467197049719	0.930222645644117	0.944483908126267	0.936959907803378	0.863696493491489	0.947192105150038	0.937485838875978	0.846655608147215	0.954120277379416	0.953510081804022	0.955018865045412	0.9578767915945	0.711597152267017	0.760639203551036	0.948169909909464	0.950330190053983	0.893655759993386	0.935869096665139	0.953158203315181	0.927648387172868	0.820088119939938	0.936671605314408	0.717921341200536	0.945993517088376	0.880386087022144	0.956751833101564	0.720210922391919
cg02771684	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02772132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02791765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02824523	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02840008	0.621747082678191	0.893046350831544	0.691552771794758	0.880729659414424	0.835358047858282	0.413013041114422	0.911683308821852	0.912320608790732	0.172800404807931	0.895885169986657	0.892309086236078	0.778308507044623	0.896090938879975	0.737486588516683	0.856219887597902	0.885519277344937	0.829793110031199	0.924738204673845	0.614348736460638	0.940108946378018	0.503742553440146	0.886437841193451	0.886427919896609	0.372466867464597	0.940563760255075	0.931864630159016	0.884262798169212	0.929048940495207	0.915170981859196	0.939542706131954	0.79773059775496	0.935168282174031	0.870534877162993	0.905657241814413	0.839624580330704	0.863202288205199	0.900475358604856	0.934857811934376	0.656194820448158	0.609621313666257	0.876918170630989	0.910571854011339	0.925729086811692	0.92500929787008	0.864887110008289	0.725029150046937	0.73672700113211	0.829444111416407	0.823088958640827	0.862334287663136	0.910391530722149	0.291858091630287	0.724077304964288	0.930401243144099	0.870824133271344	0.816178182245728	0.93840750032354	0.724898238020005	0.340440006000542	0.913838151991399	0.53701505454814	0.872907374678139	0.941442726508062	0.79325775970118	0.943058179350619	0.781903700512491	0.930587054735715	0.919834000136667	0.904032416544328	0.934232474809255	0.868172707427664	0.953223829859452	0.906595161969123	0.712224925530607	0.867675869215093	0.777207205597643	0.768627274451667	0.931698752490061	0.753303915394622	0.881432270653289	0.930130468999027	0.918534368204138	0.941537479176216	0.861656337708943	0.745832014123168	0.894809234218713	0.939343833420556
cg02862100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02869126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02873710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02885021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02899093	0.655648362530192	0.910851960452007	0.914507855265745	0.88275859691225	0.84962106564777	0.595749093628205	0.900027383918616	0.904244102265421	0.444040632538766	0.918318054499679	0.748780109165034	0.575957171907531	0.917435700461401	0.859714793247673	0.710665540436774	0.882312810513218	0.86773382644099	0.899931674909985	0.837400022552318	0.863862555709358	0.791446471482744	0.919129749218989	0.887182305294746	0.848009694548088	0.912069521274482	0.868240945686045	0.749854552742808	0.864170052544821	0.928521556350852	0.921780440209877	0.891754539910955	0.894066235779896	0.901687928053297	0.844711987118825	0.906213675557601	0.875735230411527	0.909115427729394	0.877358113294458	0.754072383757391	0.933873174760368	0.511605172925628	0.881626661956222	0.91974771514561	0.840238890739477	0.904062245195198	0.887053097101046	0.923791794448892	0.884190191564569	0.903794932742335	0.928279308111106	0.910024036333851	0.930904478156442	0.809161568520836	0.910257361264552	0.905494946878747	0.4977346544369	0.901868197678866	0.893460809473307	0.310860189983993	0.909345833729687	0.72853174844682	0.917025905885267	0.922365567521758	0.850447348842322	0.916437542710854	0.54923403650462	0.923322995253121	0.782144085624525	0.573836018413895	0.935524896205495	0.859381160660868	0.913193151821303	0.922663034892298	0.915987910247898	0.838949767780961	0.911276273351626	0.847967439961314	0.928471563980037	0.866583993550529	0.912699781651478	0.934865259049082	0.924194318260899	0.916796728928716	0.737387234538378	0.857518738340709	0.913959326525508	0.912353128602805
cg02906557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02965931	0.934731809267665	0.946802928913237	0.942155129525954	0.92392696838994	0.936240583793761	0.915445897310015	0.919190435645044	0.951553988912307	0.230022171422913	0.933029174363397	0.897986517980542	0.916996256888757	0.898070664204745	0.930596425265294	0.912228122748879	0.912115537477085	0.930062213503536	0.947022241129106	0.893264436633145	0.918212989428554	0.944804354309324	0.915316970459964	0.94375700067668	0.901074693989343	0.949031556026346	0.922500660334324	0.93386090241249	0.938784255446415	0.903553542816266	0.923557475296041	0.913508493032605	0.913534254387188	0.924177383650169	0.914078648781718	0.852538444992225	0.941473188281133	0.906893034309632	0.953390457375998	0.925461968538785	0.945556666266629	0.927924276080073	0.863915177065896	0.918172578411075	0.924858817412795	0.915643572814423	0.920744933178375	0.925053090183082	0.906484295042222	0.878939387730532	0.926068175980356	0.957928633561008	0.897552329741331	0.913018069044995	0.901116786558047	0.912060031250622	0.932374286827248	0.888649424364051	0.88041710557417	0.927695920065134	0.850762542236421	0.905163798203665	0.944496441035682	0.888168943084563	0.930782036242671	0.93889316056936	0.906214205799667	0.933249181244188	0.936888827188073	0.933479466997123	0.937234636454485	0.92526794233357	0.933049184194674	0.915282482680358	0.934195755663765	0.919911703105673	0.92317632172027	0.840677615923493	0.933206474785906	0.901748328993983	0.917426109124273	0.922364963618448	0.92966130085483	0.926234569344609	0.940862782821618	0.894613453805388	0.900698500062933	0.915657937466845
cg02993013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02998155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03002774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
