A_CpG_ID	TCGA-KO-8415-01A	TCGA-KM-8477-01A	TCGA-KL-8337-01A	TCGA-KN-8435-01A	TCGA-KN-8432-01A	TCGA-KL-8326-01A	TCGA-KO-8414-01A	TCGA-KN-8431-01A	TCGA-KO-8410-01A	TCGA-KO-8409-01A	TCGA-KN-8421-01A	TCGA-KO-8413-01A	TCGA-KM-8476-01A	TCGA-KL-8332-01A	TCGA-KL-8341-01A	TCGA-KO-8403-01A	TCGA-KL-8334-01A	TCGA-KL-8344-01A	TCGA-KN-8424-01A	TCGA-KN-8427-01A	TCGA-KO-8406-01A	TCGA-KL-8329-01A	TCGA-KN-8419-01A	TCGA-KO-8408-01A	TCGA-KN-8434-01A	TCGA-KN-8436-01A	TCGA-KN-8437-01A	TCGA-KM-8441-01A	TCGA-KM-8639-01A	TCGA-KL-8336-01A	TCGA-KO-8416-01A	TCGA-KL-8327-01A	TCGA-KM-8443-01A	TCGA-KO-8407-01A	TCGA-KN-8423-01A	TCGA-KN-8429-01A	TCGA-KL-8343-01A	TCGA-KL-8331-01A	TCGA-KO-8404-01A	TCGA-KM-8438-01A	TCGA-KL-8345-01A	TCGA-KL-8340-01A	TCGA-KN-8428-01A	TCGA-KN-8422-01A	TCGA-KL-8338-01A	TCGA-KL-8325-01A	TCGA-KL-8323-01A	TCGA-KM-8440-01A	TCGA-KN-8426-01A	TCGA-KL-8335-01A	TCGA-KO-8405-01A	TCGA-KM-8439-01A	TCGA-KL-8346-01A	TCGA-KO-8411-01A	TCGA-KN-8425-01A	TCGA-KN-8418-01A	TCGA-KL-8324-01A	TCGA-KL-8330-01A	TCGA-KL-8342-01A	TCGA-KN-8433-01A	TCGA-KL-8339-01A	TCGA-KM-8442-01A	TCGA-KL-8328-01A	TCGA-KO-8417-01A	TCGA-KL-8333-01A	TCGA-KN-8430-01A
cg07372195	0.930166446553905	0.776323598991702	0.937295162878888	0.945089797206078	0.946845646268193	0.718087196807083	0.952068673505895	0.952744822562054	0.921480678501226	0.926574739826772	0.937623379595149	0.551435168093588	0.936004706959651	0.946596065144249	0.953273272030247	0.952409864436032	0.953483767292512	0.527345756946233	0.950218161144846	0.95513514996745	0.945153016072	0.93685345016004	0.899092756624216	0.602764289874482	0.950358542453662	0.955973754918079	0.951318198485389	0.96123619330029	0.933708340219686	0.937589796221695	0.950307339357633	0.941037644316059	0.943511390838971	0.947529944472525	0.442012309348979	0.954817864205134	0.90470817265195	0.945766433220951	0.948075224238847	0.958694807794546	0.940410297959549	0.959073136683468	0.942429539592507	0.934576262821368	0.942116566670997	0.92041970900836	0.223448526778827	0.94674912780841	0.738486405826806	0.22788090485675	0.956048868382601	0.890942145402842	0.314402319968014	0.93685389851468	0.958633048373494	0.228949603370766	0.505908628745582	0.940445363478308	0.932382358550881	0.954530096156946	0.947454981374841	0.948264549116947	0.94779399252698	0.932476551833186	0.961064856842097	0.942904298378266
cg07378405	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07421068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07427559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07508429	0.902084471193677	NA	0.112488704843206	0.738032987152121	0.629268877988009	0.646914466108466	0.212966055966948	0.284694926155644	0.848774465488413	0.71968836661637	0.918866234679586	0.647579793012267	0.89111394001722	0.897997290647216	0.629778138336107	0.442037068025063	0.910899011909493	0.801823678231751	0.64129718662176	0.862798840088981	0.889247719612545	0.305448922463985	0.55785694712826	0.715389053380442	0.680759063556914	0.727033135909285	0.840287593722184	0.636719903183771	0.82036374551438	0.94006658583643	0.740322754440653	0.68901892105942	0.221564803165725	0.687001032670467	0.738382574989702	0.945268553442214	0.386042074762558	0.176704262975236	0.89856183134935	0.648588773559412	0.894130317166657	0.313134711691749	0.884835718518387	0.902145192645073	0.912258952264758	0.730743798752194	0.889905369726867	0.750119031224217	0.286956641013481	0.195945488437279	0.757582155020485	0.64290806405985	0.186029529003192	0.778001610383534	0.23612551664767	0.936095793552307	0.225609158359196	0.79242128424066	0.7053232350565	0.917683105372703	0.161062977115391	0.729048791436927	0.613296145408514	0.183602539718796	0.583613301294274	0.942617616152098
cg07516965	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07532159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07559427	0.943351898168021	0.940564180196623	0.955236894383303	0.611948010187934	0.932096645429994	0.545644255993942	0.896680639766524	0.936856627890657	0.951882809678774	0.943204272792805	0.31719114228258	0.726130881539174	0.950139632452016	0.948020673467522	0.910969339107111	0.923935503090125	0.94768485269381	0.909912133863843	0.934567606629138	0.949150053293352	0.949571036798238	0.938905255157332	0.867879685692049	0.927609124171206	0.717648718348035	0.953786152874778	0.943834246266364	0.959350614267567	0.956807823832927	0.925333215267952	0.939658860142166	0.928775529368637	0.93047987825494	0.726441197064154	0.626126396306189	0.950285909175593	0.53327447550591	0.921418370104126	0.625522310903417	0.955828591120862	0.945302977152305	0.929384400565683	0.849932705126588	0.648777525014628	0.710538887200644	0.961889486878419	0.948520945590482	0.375510368405038	0.924770919223967	0.953809239237815	0.942636983611156	0.914634326349495	0.583280263407363	0.941190114577081	0.938997638726048	0.961130675124735	0.943935977907425	0.960447402322737	0.954986677070451	0.947450075385982	0.939193625369026	0.972057236326621	0.954498036171218	0.929651251842171	0.819783041730531	0.671180545708394
cg07590638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07612889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07633119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07645858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07672509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07690202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07756562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07757454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07810671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07841357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07855322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07856387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07902406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07912810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07922521	0.92402653778181	0.960634595205436	0.962542049457956	0.948470260769644	0.938312230872434	0.821700481652488	0.94884235564406	0.943221228256471	0.938830426643989	0.967368200134658	0.946110783444016	0.67872530091325	0.954481329444454	0.925354400948028	0.949931375311417	0.953860747560932	0.920313393602517	0.953188757553377	0.953365964928681	0.87289669527473	0.960508577150965	0.922641313466162	0.939238817654051	0.942676502683922	0.955635065389898	0.938927697579064	0.948255696123085	0.923830965458921	0.964996557069842	0.929092053806865	0.941036443341442	0.947477384671045	0.952690322825442	0.93610367434539	0.907898860569861	0.945348996031238	0.94901130979099	0.93591646533505	0.916672131169624	0.93160383590223	0.965009905733693	0.954828201387002	0.932068910590157	0.924614706960423	0.951004354164596	0.958178992412823	0.951118157848911	0.95326247508409	0.9150491201914	0.926565299124747	0.741636628012757	0.932673235714354	0.945524454184354	0.959189748569372	0.913646529153927	0.954868819518743	0.944528467874687	0.957145683387856	0.949301032871746	0.958294928815155	0.954845432189947	0.953992621769876	0.943713341723198	0.953929712264693	0.874195049667543	0.951417406808359
cg07989373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07997387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08005007	0.866400624724094	0.808089263859367	0.809886154532364	0.846447449138358	0.772535954264502	0.820859678080134	0.797273082327002	0.851332560210216	0.82085686048078	0.76214324687437	0.754407139181251	0.758904261014191	0.85679070067772	0.853711381580324	0.867449025278415	0.847846874336909	0.803965288562937	0.890418183237243	0.802291654334028	0.901398585300036	0.809961114864183	0.745126790332489	0.751434523561216	0.821744298706514	0.754558078963103	0.824515003521442	0.809409109101298	0.855442965957821	0.805829478560814	0.751985119505683	0.866236223426735	0.800770639146272	0.799866712538586	0.859085214658877	0.786384559515287	0.869386054099818	0.779863652718937	0.860554877816745	0.640035395533869	0.853977927903408	0.90887672330577	0.816322481214279	0.71872829352977	0.841291069276464	0.831449948318778	0.800374836950923	0.86985306694016	0.829890949822613	0.790470710970263	0.784478156080147	0.796900459487521	0.811305461334445	0.750873810098279	0.816942344211252	0.816699314431252	0.820403838596005	0.853897662433107	0.874691291511891	0.856823163167773	0.789984479869285	0.904169545553206	0.813591012410473	0.769639676063977	0.786890840137643	0.831840461939949	0.812867770153192
cg08027643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08075677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08082390	0.955220877059854	0.95175981730026	0.949949636291408	0.95971782169714	0.943354463989006	0.943802807851674	0.930063370530186	0.96277282317783	0.901836736632292	0.948144542058145	0.933866757770049	0.95212336489922	0.951977912264898	0.955612286671548	0.958661085059077	0.955985441465087	0.952722143948761	0.95597829937621	0.949553592518988	0.925307694226993	0.966621905380506	0.956177566971241	0.954671122334659	0.948730539425163	0.963468196048189	0.931195020967646	0.954866467081149	0.955755442856153	0.926911304233126	0.944906617483737	0.963952850590561	0.961232310175381	0.948012622946052	0.958389594698556	0.955810339316051	0.960951753941354	0.95066425831182	0.961900445235763	0.439165316304175	0.946062668813594	0.963038503309245	0.946671368129714	0.951657160307277	0.942991394562149	0.925934232840813	0.959332459375271	0.950673775566153	0.965276169480281	0.942449460379705	0.945916008879231	0.963470544617978	0.940860340876259	0.952928298657706	0.948732005156346	0.953672869633485	0.952049297597023	0.950634547385974	0.96042195584692	0.964317720716506	0.944078205724567	0.958954697160852	0.962295900732636	0.951079978798615	0.951232234036646	0.94967581299522	0.956234060329716
cg08096684	0.977002362405175	0.965988083762713	0.977751886688931	0.971651794279771	0.971247590325671	0.968389747073759	0.982138101862557	0.980271382405242	0.9763759090874	0.97801975940336	0.975542870328701	0.541546766438179	0.981697946765539	0.721557702772342	0.975765493887844	0.974528990447095	0.977095580235525	0.974807953543053	0.980104213613282	0.968644957219535	0.976479536781889	0.980519873259194	0.568700142681187	0.978009295817957	0.977130848026046	0.979548116007084	0.97396902007622	0.974047994178014	0.98015342262655	0.980186701818313	0.971348980440671	0.9779111608624	0.633705715664049	0.973151130713108	0.960886401800121	0.983245580775842	0.944890026474497	0.978754614361709	0.503595038149355	0.977367725173315	0.977988976406823	0.976890396454427	0.891038267263385	0.978042868361639	0.973262021950959	0.974098168962544	0.97955654438848	0.982984411969935	0.975252228543587	0.973984394737383	0.968598284089986	0.874278465828336	0.930843878330564	0.976742419282244	0.930781121331706	0.973303978789407	0.977898344251539	0.979777189838686	0.978154316040077	0.953339345987258	0.975898764417571	0.974245031012165	0.981519867648831	0.97700427740463	0.970141418797873	0.969461430120552
cg08123100	0.605347682465263	0.768102635569536	0.928237706016715	0.545067738256425	0.632182619393134	0.911191545319941	0.762204392138	0.938868092682356	0.730908157530051	0.948031315122235	0.931585776608869	0.731126915510623	0.875103941262333	0.520302911622583	0.921414921772085	0.874076091108302	0.274253467168109	0.790248856261358	0.738337673075549	NA	0.685479105543755	0.904829247917755	0.497042203602557	0.846811925050779	0.856080771407834	0.944185227260442	0.943223489940628	0.912789103760251	0.920825927654623	0.514009546889094	0.646877014549706	0.909871138491158	0.892986385900678	0.924744716823106	0.767095406828282	0.926391958942532	0.577737721727203	0.894785320449773	0.534113031542169	0.955544193931054	0.937540600334037	0.94161697013163	NA	0.74611192937205	0.934466507964996	0.900864226177899	0.90992738446735	0.937879779196128	0.701136265058863	0.91482523968452	0.936695669686451	0.931726816273529	0.844019286979583	0.486457153027529	0.943431244903035	0.936116303918244	0.938788452024865	0.947991130125415	0.486257151287949	0.920328504286464	0.852230242416787	0.929615196638131	0.210927183770927	0.917497716120542	0.902683567289427	0.34950215949826
cg08158805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08170119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08177743	0.913827552677289	0.939686328839305	0.938537636435569	0.943102379963365	0.945176778864774	0.942971416877172	0.917212309462686	0.934868161076398	0.954227161652541	0.950626545452958	0.925675506006515	0.931381010704795	0.939494043616938	0.888992234731184	0.944482492318177	0.922608761845029	0.94462769046862	0.947280717668067	0.933176348997492	0.940671054612281	0.950044616678103	0.936425589624891	0.828334271315374	0.90701123718756	0.935877203571995	0.937219260893262	0.922266283873829	0.940086640794386	0.945759165685933	0.923199939204725	0.945295054754547	0.935577365673735	0.916809189626559	0.916826439767102	0.940935784091192	0.950930563088892	0.955548061911648	0.931195039916942	0.819919788928223	0.880165309711636	0.934431952969676	0.933125689636374	0.9581136467823	0.938005642377066	0.947542106665589	0.931093445172292	0.937880737094988	0.954777226499732	0.931286311762412	0.960906218027968	0.933254891526613	0.961404723777122	0.921773325482828	0.941224467174582	0.954630952812067	0.958998554086101	0.918612703474673	0.938229630020528	0.936029239381119	0.929462450862733	0.946098980386427	0.959453102822696	0.964170505406028	0.945288388782348	0.900679822481061	0.919943352996989
cg08222555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08237400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08254315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08278002	0.947036586805693	0.957646607770812	0.943385676422213	0.962523039438578	0.967046797089591	0.958429071371641	0.956983242990557	0.95742241791465	0.945173572994189	0.641352757235204	0.903108055858416	0.938270301583703	0.955878560920081	0.931192351738749	0.946179742870624	0.932052323472308	0.934536159228078	0.951133595099726	0.948365858889024	0.424875318722607	0.94060894751773	0.944463767614415	0.947271381636819	0.94309242884418	0.954352240881189	0.952834734853097	0.942915629196922	0.895367410444298	0.942281787307081	0.935265496111357	0.965613495149562	0.953697879756951	0.955529189899509	0.917780217695049	0.958453178819579	0.959369273333676	0.946281519785057	0.946344259202028	0.746665099220128	0.935837938156664	0.961454377186128	0.946659795932195	NA	0.936357011263451	0.574164638924945	0.533328631354698	0.943897784326213	0.591540750841736	0.609469176950211	0.942310109061587	0.916823118651856	0.956961378080485	0.954549149087345	0.945968600947986	0.942191099958614	0.578854574182809	0.96449515909774	0.944221138362613	0.57210183889782	0.622927567636583	0.936449413478037	0.939109671322721	0.946377917404866	0.557772963964219	0.862323835549239	0.837533504615343
cg08338237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08356248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08371086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08373323	0.949653665783001	0.935693479724269	0.721350041239554	0.638780030355724	0.951357570896441	0.922858231462401	0.945701537552344	0.948158368258503	0.927840562494546	0.960055493263077	0.940976982339501	0.942326429528119	0.938759821046374	0.727672426209347	0.943822606540149	0.684772711481763	0.945516833105668	0.7168561776622	0.956510699384761	0.94118712267328	0.947644529204842	0.682586701727916	0.491387462025214	0.934261093686218	0.675686584693371	0.931941180623032	0.888461785224416	0.921936849387109	0.894543477851768	0.953320153089826	0.669017440646559	0.92708547466755	0.94259852600027	0.951963392187128	0.953072965792606	0.953615143280579	0.915687845088503	0.857851499057553	0.963046125712892	0.965913696815457	0.275879119932251	0.950275702348264	0.934968902188265	0.937677103055479	0.940297610688875	0.656519928047791	0.943558409214228	0.955275221587328	0.9204116196664	0.951456526502451	0.932649141187782	0.845101195979587	NA	0.949826458259009	0.951943001574814	0.95353847316725	0.956297804493922	0.944413684509516	0.961807866985856	0.945264249973368	0.920796285757323	0.941337017556725	0.94050289705021	0.943807231049249	0.814878456165633	0.950115125552608
cg08454110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08458655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
