A_CpG_ID	TCGA-N5-A4RV-01A	TCGA-NA-A5I1-01A	TCGA-ND-A4WA-01A	TCGA-N5-A4RO-01A	TCGA-ND-A4WF-01A	TCGA-N6-A4VD-01A	TCGA-N8-A4PQ-01A	TCGA-N5-A4RN-01A	TCGA-N7-A59B-01A	TCGA-N5-A4RU-01A	TCGA-N7-A4Y5-01A	TCGA-N5-A4RS-01A	TCGA-N5-A4RJ-01A	TCGA-N9-A4Q3-01A	TCGA-N8-A4PN-01A	TCGA-N8-A4PI-01A	TCGA-QN-A5NN-01A	TCGA-N8-A4PM-01A	TCGA-NA-A4R1-01A	TCGA-N6-A4VG-01A	TCGA-NF-A5CP-01A	TCGA-N8-A4PP-01A	TCGA-N5-A4RF-01A	TCGA-N5-A4RM-01A	TCGA-N5-A4RT-01A	TCGA-QM-A5NM-01A	TCGA-NA-A4QW-01A	TCGA-ND-A4W6-01A	TCGA-ND-A4WC-01A	TCGA-N9-A4Q7-01A	TCGA-N8-A56S-01A	TCGA-NG-A4VU-01A	TCGA-N5-A59F-01A	TCGA-N9-A4Q8-01A	TCGA-N5-A4R8-01A	TCGA-N7-A4Y8-01A	TCGA-N5-A59E-01A	TCGA-NF-A4WU-01A	TCGA-N9-A4Q1-01A	TCGA-N5-A4RD-01A	TCGA-NF-A4X2-01A	TCGA-N8-A4PO-01A	TCGA-N5-A4RA-01A	TCGA-N6-A4VE-01A	TCGA-NF-A4WX-01A	TCGA-N9-A4PZ-01A	TCGA-NA-A4QX-01A	TCGA-NG-A4VW-01A	TCGA-N6-A4VF-01A	TCGA-N8-A4PL-01A	TCGA-N6-A4V9-01A	TCGA-NA-A4R0-01A	TCGA-N7-A4Y0-01A	TCGA-NA-A4QV-01A	TCGA-N6-A4VC-01A	TCGA-NA-A4QY-01A	TCGA-N9-A4Q4-01A
cg07590638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07612889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07633119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07645858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07672509	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07690202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07752596	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07756562	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07757454	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07810671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07841357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07855322	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07856387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07902406	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07912810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07922521	0.869095038923451	0.887553685411373	0.959683919143004	0.813346689623797	0.914943446561066	0.948501696812988	0.831156549728006	0.932072762319648	0.952484488648267	0.911507178478311	0.896937101943581	0.944435819772637	0.878071018079309	0.920337432648549	0.868226630585211	0.927190189309688	0.835503364222279	0.884620922766861	0.866983151393042	0.948824375039131	0.937806996656524	0.873060253476634	0.923753547345091	0.707355477411732	0.908927868677904	0.894123356171816	0.820031673205754	0.853009476443602	0.934126698036329	0.822414344523572	0.852279241944428	0.699739163434173	0.809354475827896	0.945314358820043	0.685417277194632	0.848100746791927	0.816693411307239	0.940166695926129	0.877807359759917	0.792938768623309	0.883518373600093	0.929211969439613	0.896377653676289	0.88624194193106	0.955005089071104	0.931247398658865	0.571601289543643	0.928567065234885	0.889686201724297	0.918592440060136	0.874294276825234	0.824077682471773	0.630011521084922	0.919560827791738	0.950569276070014	0.929033307127267	0.921850471389065
cg07989373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg07997387	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08005007	0.752910675896466	0.678652672527033	0.713816776931951	0.656058184980485	0.637838031667734	0.65747272468891	0.674347179433829	0.696633780278082	0.861430608074561	0.697550815938945	0.685309835576027	0.730483347462486	0.738001580714063	0.667616410678992	0.650424613957839	0.643547569260932	0.640102964974352	0.661259281796628	0.84605604260299	0.70158740497246	0.690384621614511	0.732142385860691	0.740197887022459	0.724879883928376	0.599399359605273	0.862634381273399	0.729199929649562	0.74516321499567	0.786725963445974	0.687723574467328	0.672259713330677	0.761073446332718	0.661761545937104	0.775118673330147	0.622854147921597	0.716878846887442	0.634590980131523	0.796812074721721	0.62039358450649	0.652094468873094	0.696973907826509	0.914300690638243	0.741358255667871	0.650644018170253	0.751805167678214	0.716796590888093	0.678970251269723	0.851192530016563	0.74021000995192	0.809906456860585	0.724783827864233	0.736324806371762	0.74140617047656	0.785635967563362	0.692021899040651	0.710087190118215	0.642419306732972
cg08027643	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08075677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08082390	0.938686992880217	0.957007160315817	0.952913764207526	0.902782175509183	0.94983942249174	0.936427648997696	0.893546272287333	0.341352654359459	0.927036536193619	0.757002100026078	0.955929426261179	0.948643401692657	0.676954526231688	0.721050858507365	0.945663206348868	0.348979416186919	0.893309428653693	0.937396038828069	0.241051238251096	0.938000052146126	0.565073298722913	0.770306248901932	0.576272173718812	0.701593149879385	0.130429641547939	0.832273706684597	0.94100046175874	0.931572343876758	0.949497254811452	0.88440149349363	0.928550454463121	0.939160942126832	0.757668411998121	0.94795833610869	0.943768322215587	0.885116603038653	0.930502212646789	0.947077140033346	0.924461229488735	NA	0.645284704528095	0.94476050585145	0.923992190684275	0.629936345055849	0.941586239586621	0.55836681062964	0.936104288549568	0.950352329573712	0.813496648010996	0.927793369854819	0.90560829977887	0.926560801064586	0.9387140987106	0.821679381756388	0.51367840455132	0.847100903354802	0.859941557341205
cg08096684	0.665770641677668	0.745149725615179	0.882984664810013	0.250452640314921	0.32709354433127	0.67143488558999	0.571813712303862	0.438967442879194	0.900200265455676	0.316423426414981	0.754639710011701	0.699484567130861	0.702129771844632	0.73619846190205	0.207671120404399	0.717372652664192	0.280776181325884	0.555315250128627	0.79093481496962	0.343766822839226	0.34179887520011	0.522255697853143	0.326496793207461	0.231074845722281	0.24254830110628	0.43629246585648	0.306188742166249	0.489767831873662	0.61943451999215	0.595733043826452	0.454479804683409	0.749978097955643	0.312298104842209	0.265263131106397	0.197004736541882	0.410215458264192	0.273261351762927	0.85952940515931	0.242845165759113	0.756333246410564	0.258032095335375	0.602982999387094	0.502259246634467	0.518985203997317	0.954475129232064	0.56041430522482	0.337018038179657	0.69622918845954	0.661954923290972	0.965253976109205	0.49793439078401	0.714184428218457	0.961321617645859	0.33277342184467	0.434399317888554	0.721440803494948	0.277366606004535
cg08123100	0.343675690437221	0.446471316184161	0.912427806201996	0.307182733880697	NA	0.409793110789912	0.885103999721793	0.900298751303468	0.90164563457232	0.599211340057299	0.935007479682302	0.86544512830515	0.866527602121464	0.735805721160369	0.872569399709267	0.781276676845932	0.709932560705432	0.839984894190243	0.866239315608395	0.909251027776627	0.393870321763076	0.904196489777854	0.855819712229859	0.571699271542871	NA	NA	0.875012084218265	0.842491133568451	0.876282211276753	0.885708985807332	0.817658548392533	0.859601838308542	NA	0.745892363852727	0.526726939135628	0.823781299140632	0.837984135888808	0.759298219473745	0.812455695549691	NA	0.595219620711338	0.69036434073921	0.891210269718853	0.592686800519965	0.854914930615034	0.798093839545031	0.826285683834344	0.854936447474009	0.775416973911158	0.923308767576655	0.881359282144208	0.863373581516769	0.46639750306093	0.873037571580684	0.871762500926845	0.908024821204079	0.857746240887814
cg08158805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08170119	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08177743	0.893563939729552	0.907846077818939	0.955462470879081	0.832566721141759	0.72881860428536	0.943770147495724	0.872679706912112	0.957392217408108	0.927035880720776	0.911208741723892	0.790989796192808	0.935129723435585	0.926827096987551	0.956632840900499	0.90367199310256	0.94217868441736	0.787913635376907	0.81256339764127	0.435552304804661	0.940707226660751	0.85108984697984	0.936530258452326	0.907885757821095	0.80382601823457	0.86993026285363	0.950539251586557	0.688956716595982	0.840448198561776	0.949535605603204	0.897463339023899	0.94657272614692	0.84982694091619	0.862413832278074	0.923680084569451	0.852539104848332	0.781771845112615	0.756554790504198	0.947083009459448	0.865417386947171	0.690861663286815	0.86908874797277	0.95142533797879	0.844608309268516	0.898736996600745	0.961699001472898	0.900525968331129	0.908858004704815	0.918400546180566	0.789007394940452	0.944507905397444	0.67444017524567	0.936243265519475	0.475923407985715	0.85525108698586	0.951819982733118	0.920383334552293	0.833062642672267
cg08222555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08237400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08254315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08278002	0.90411793920399	0.912931392040873	0.0621311142354197	0.809377321664336	0.478912706841138	0.173643347330093	0.704697738435209	0.0598458801087385	0.937587763030185	0.604732870231387	0.930960025378664	0.937544058129385	0.104088959042363	0.0698433541922276	0.900978680950127	0.941189824044227	0.359932111643432	0.199638773362336	0.0430031962565598	0.818722961385112	0.288517454685955	0.528310355566807	0.175716320736177	0.882002459618432	0.331032932406027	0.449062881113427	0.876729766518802	0.765699670684565	0.880474205693704	0.718895893772737	0.928206290667695	0.417484276990211	0.293921057531926	0.722934706048454	0.850891145449307	0.818118813126605	0.620541280036677	0.914674917669185	0.116611887873844	0.364573436610986	0.0960636450003995	0.894629958294083	0.903095228800751	0.920148987219251	0.937683310766549	0.672310724775713	0.721306956222134	0.9186129005455	0.910306508937761	0.90012526828779	0.868715686127491	0.626818903164309	0.0900032098348894	0.387567066002427	0.178539482187248	0.800331996455505	0.876417724041706
cg08338237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08356248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08371086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08373323	0.91203127385108	0.905456904530103	0.867965979347339	0.885869484371636	0.784195696474839	0.943734270678414	0.840940464769325	0.490270578357194	0.936981728845658	0.840717022295825	0.912475107170376	0.769928744530544	0.844799578790644	0.592115151506415	0.877441791919816	0.958025495341302	0.936562766507282	0.792603140410321	0.835060445402426	0.778879747970525	0.859114301056307	0.938935775320139	0.878368363585704	0.783847610823227	0.735255017808156	0.907601845061968	0.618557382497511	0.855601261489027	0.922026667744892	0.841042568740628	0.780490202861279	0.751906299994874	0.704126023168333	0.914772419841388	0.620214429720603	0.309068341061058	0.772425455483648	0.914636425494147	0.850346400904273	0.823504249404426	0.892123810496047	0.926422159884521	0.912251144359877	0.917138825772743	0.926227630191183	0.930287488689804	0.624095950849334	0.9315646666507	0.919511916374092	0.869547048513436	0.804703566636688	0.924969009453297	0.936309822357821	0.908625388870975	0.756223144046959	0.921981256350685	0.615247115881175
cg08454110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08458655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08488494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08509032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08547427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08593037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08596858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08670672	0.90542877382574	0.925693944312243	0.899988556426374	0.879126942545666	0.919744076882226	0.868343742015111	0.883426594059047	0.883971218918904	0.935777873071101	0.913513023903585	0.923328339961385	0.920651808772206	0.905111251981617	0.925332993362897	0.916986584926448	0.934321645679966	0.845664673350836	0.892012159920478	0.759769757546119	0.939606383502657	0.905858936896326	0.94374359621236	0.915338882056892	0.919939612711177	0.892337443825387	0.890526000882862	0.896587350453107	0.901692879821525	0.923834534517233	0.918262404989981	0.937646469513431	0.823522002543072	0.858862656638102	0.856797223823434	0.908601765391166	0.89388143552903	0.889084927045902	0.915702618834087	0.907442396569072	0.919803559249558	0.883479396238255	0.894800104694692	0.931108611107181	0.706077984451219	0.923495981348317	0.911322147677069	0.90685704575317	0.932926283426793	0.902019818878338	0.906570380276448	0.907609497572773	0.894405355305251	0.718240136197007	0.903543141986661	0.916482148625329	0.904185553578156	0.864195326776936
cg08694858	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08714076	0.138181296805032	0.597060171168376	0.70253833336299	0.224993275870212	0.564754188151527	0.83151217670398	0.731599946187449	0.145340745750102	0.441687415113692	0.905654318662042	0.826706817520181	0.748303569372922	0.209460686940688	0.162265560603535	0.798250005993248	0.310428668391099	0.363009712205898	0.678379955330423	0.788904358802307	0.844416434470269	0.451653274800973	0.579667388500245	0.874499504534769	0.67097026494152	0.497772506441533	0.879513854026762	0.599395381324634	0.813614901816159	0.552917832635857	0.815784861248803	0.840482219644003	0.623190027199244	0.27977435117494	0.902029626730693	0.660674545382495	0.57634931167183	0.46313308827641	0.93043235292023	0.307741949089933	0.180505514118413	0.317877908994593	0.750764764945925	0.847234204715997	0.208140385455236	0.895377552430321	0.875106648636136	0.871102968831195	0.837745647706719	0.591155739823829	0.865844678652314	0.489239443665691	0.712407840442465	0.546966609946367	0.808514749062323	0.254528856750003	0.599153046244215	0.147306354450261
cg08773876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08786064	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08789741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08796647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08804555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08829007	0.324095035589357	0.745079160994535	0.776534765731247	0.415264227881701	0.831240009978282	0.111365671221562	0.738987508610236	0.0832638626457699	0.321775766897547	0.126591372845404	0.0812118569907546	0.859049929523355	0.141274179996676	0.823565674807801	0.809745939277309	0.173577719141334	0.24379702775819	0.464966462754356	0.0920012495542318	0.717388878302852	0.14716537350459	0.157959455705375	0.292629694483204	0.702081118146173	0.562895636308924	0.203237978875042	0.811375554171915	0.532254108937049	0.302317544100512	0.289786584984465	0.757091972112509	0.0800831448305628	0.283300507221528	0.48495590560427	0.512205334194805	0.490715803296228	0.409975099060847	0.771957580231027	0.25266875964295	0.524364623270673	0.108115574232495	0.871081529773313	0.759623864776746	0.460391572130358	0.864051507196894	0.630109445509946	0.243111407111006	0.596203135849912	0.381491516042798	0.866082367076156	0.474746087350861	0.317523529939658	0.0770246585907127	0.249667812841108	0.719712259229934	0.205959724129499	0.102777730083088
cg08849542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg08852035	0.910493693610777	0.933537782572837	0.903724903381042	0.664609415195721	0.866337611034718	0.916179464463403	0.8321300285492	0.87168819008965	0.858267672496785	0.845856545629062	0.916026027576814	0.908057118902122	0.886227470552535	0.861872948437834	0.899643589244348	0.882048143175275	0.727749447289297	0.846339806010633	NA	0.918393435517914	0.850903903126551	0.918037028583748	0.924778636974177	0.898470250722667	0.741336348531876	NA	0.892572805591823	0.757168483012667	0.934094250293744	0.937834316944302	0.910277462265282	0.855814646607454	0.890673098233376	0.915795890260988	0.660635549528819	0.898844435164034	0.748938084136613	0.930307852316226	0.918316789789656	0.828726446094925	0.880248627511043	0.916638120225305	0.901444051501134	0.845121192938131	0.935297256400935	0.942608519329088	0.927626887891356	0.916658082821638	0.90631189488058	0.914178916568815	0.833555828198786	0.870005292080059	0.826919989833923	0.878384166002077	0.923456866206784	0.900060738222781	0.893899803917118
