A_CpG_ID	TCGA-G5-6235-01A	TCGA-EI-6506-01A	TCGA-F5-6571-01A	TCGA-G5-6233-01A	TCGA-DC-6682-01A	TCGA-CI-6620-01A	TCGA-AF-2690-01A	TCGA-AG-3591-01A	TCGA-F5-6811-01A	TCGA-AG-A020-01A	TCGA-DC-6683-01A	TCGA-G5-6572-01A	TCGA-G5-6572-02A	TCGA-EF-5830-01A	TCGA-CI-6621-01A	TCGA-AF-3911-01A	TCGA-EI-6512-01A	TCGA-DC-6156-01A	TCGA-EI-7002-01A	TCGA-EI-6885-01A	TCGA-CI-6624-01C	TCGA-CI-6619-01B	TCGA-DC-6154-01A	TCGA-F5-6864-01A	TCGA-F5-6810-01A	TCGA-DT-5265-01A	TCGA-AF-6136-01A	TCGA-AF-6672-01A	TCGA-DC-6157-01A	TCGA-EI-6509-01A	TCGA-AG-4021-01A	TCGA-AG-3731-01A	TCGA-CL-5917-01A	TCGA-F5-6863-01A	TCGA-AF-A56N-01A	TCGA-DY-A1DG-01A	TCGA-DY-A1DD-01A	TCGA-AG-A02N-01A	TCGA-F5-6813-01A	TCGA-F5-6814-01A	TCGA-DY-A0XA-01A	TCGA-DC-4749-01A	TCGA-EI-7004-01A	TCGA-DY-A1H8-01A	TCGA-EI-6882-01A	TCGA-F5-6465-01A	TCGA-EI-6508-01A	TCGA-AF-2687-01A	TCGA-AG-3742-01A	TCGA-AF-2693-01A	TCGA-G5-6641-01A	TCGA-BM-6198-01A	TCGA-AG-A026-01A	TCGA-AH-6547-01A	TCGA-F5-6861-01A	TCGA-DC-6158-01A	TCGA-EI-6510-01A	TCGA-DC-5337-01A	TCGA-AG-3592-01A	TCGA-EI-6917-01A	TCGA-AH-6549-01A	TCGA-AH-6897-01A	TCGA-AH-6903-01A	TCGA-DY-A1DC-01A	TCGA-EI-6881-01A	TCGA-DC-6681-01A	TCGA-AG-A01W-01A	TCGA-AH-6544-01A	TCGA-AG-A01Y-01A	TCGA-CI-6623-01B	TCGA-CL-4957-01A	TCGA-EI-6884-01A	TCGA-CI-6622-01A	TCGA-DC-5869-01A	TCGA-EI-6507-01A	TCGA-EI-6511-01A	TCGA-AH-6644-01A	TCGA-AG-3725-01A	TCGA-DC-6155-01A	TCGA-F5-6702-01A	TCGA-CL-5918-01A	TCGA-AG-A036-01A	TCGA-EI-6513-01A	TCGA-AF-A56K-01A	TCGA-DC-6160-01A	TCGA-DY-A1DE-01A	TCGA-EI-6883-01A	TCGA-EF-5831-01A	TCGA-EI-6514-01A	TCGA-AF-4110-01A	TCGA-DC-4745-01A	TCGA-F5-6464-01A	TCGA-AG-4022-01A	TCGA-DY-A1DF-01A	TCGA-AG-3732-01A	TCGA-AH-6643-01A	TCGA-AF-6655-01A	TCGA-AF-A56L-01A	TCGA-F5-6812-01A
cg02906557	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02965931	0.377518447676887	0.345931531435762	0.282324453887415	0.298645575738884	0.790766920529284	0.356653790260577	0.677471552116557	0.171196637759139	0.353089622949619	0.311804771104556	0.347654399049317	0.311019812652085	0.714872091275902	0.377116424902486	0.567250008209909	0.386027164213038	0.237346385994176	0.445329960379992	0.215798588968338	0.375891487194713	0.416480121331194	0.392802037209135	0.172029811549396	0.467074233270159	0.240718964822249	0.600520148761707	0.23908990434097	0.506154420833609	0.189956961658988	0.337277898013381	0.282750696008819	0.447300306335072	0.211682772636416	0.500528709616785	0.211188005437256	0.809890135886703	0.165285581073547	0.215304545928211	0.310581690081583	0.328942733641518	0.253045014292577	0.927319705260149	0.44306009636047	0.183476633244542	0.227115941468392	0.340822291807559	0.556490362655877	0.392057635730282	0.257335032975005	0.499132122252229	0.406024573624945	0.709774075024255	0.127068346662817	0.560883464477587	0.477053369793135	0.3469677921977	0.328372525187103	0.348612431631948	0.187696051676402	0.545716424828959	0.278987871292774	0.208750202876042	0.613256379933173	0.330250157469535	0.316730324260224	0.477469087175759	0.348330338052611	0.368917800005345	0.333997300731905	0.365258291414732	0.269981136164566	0.38220368088289	0.25012653758961	0.23660033633017	0.809792909263402	0.328706526572787	0.326447942276534	0.109481677189742	0.312226421221292	0.486524893744828	0.266985602921328	0.309825463490244	0.221795489193175	0.503480039718864	0.304358089927583	0.247775943191744	0.229079620057009	0.319439901821952	0.263536624335298	0.459899845703083	0.320735988411257	0.475541866198437	0.313938014580702	0.0869746302277646	0.362378530029367	0.830716752182592	0.564470802736135	0.308897685178879	0.477980312882234
cg02993013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg02998155	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03002774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03006531	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03024791	0.680294431438713	0.492101739728758	0.470238017201313	0.7643770430519	0.594648218035282	0.697297735272636	0.498245129231021	0.63070633578927	0.562929368217234	0.828928288389439	0.356331129875161	0.625364307840191	0.544021935940912	0.747479550737481	0.597352692650653	0.529724920105583	0.807141170088563	0.528074666959052	0.750098441919249	0.683828148285199	0.525698463628161	0.634826262774394	0.682107691379935	0.703336448651562	0.446300765152526	0.723151862910043	0.729076407598164	0.50046664389364	0.774285018486095	0.754932156168995	0.568804387765674	0.552075088104826	0.708744437306763	0.620551129456601	0.763684258226573	0.74966707641501	0.767155520354932	0.792029962112221	0.626993529500226	0.624030384829301	0.560303489882187	0.428934537749308	0.641148666802979	0.661951141210212	0.824713994216251	0.656657427793704	0.796840964005337	0.708340401391671	0.800040893746018	0.655052871877036	0.584520751547568	0.69634426608017	0.385308502369028	0.592619999244956	0.652045124131678	0.589512960491949	0.459045594861667	0.521490520120744	0.626524405924715	0.588846928116391	0.603663225237443	0.535950369078717	0.653301557794357	0.768251622946671	0.773157443111907	0.713019351798872	0.743198218829183	0.723385935613661	0.784772476245651	0.406639773232225	0.505308033968958	0.637983620512715	0.535854339226085	0.693952917175981	0.765310357898692	0.57195705366722	0.741433613575361	0.755085028546605	0.351978968075559	0.453190573622118	0.641577777873993	0.641181187836242	0.522032832209675	0.710825500530235	0.635419533147583	0.622096762627745	0.811887731125913	0.565904189552261	0.648098344967541	0.687453802594939	0.761257340627469	0.739870386100751	0.683094556860174	0.84440954196847	0.702739364561966	0.79400583667068	0.608264079248537	0.74684992314496	0.670998687239273
cg03132202	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03153172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03185975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03186367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03189593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03221698	0.966526720316118	0.948560025894449	0.938381850048433	0.908830313772573	0.933848213667444	0.763797212375615	0.934306621794577	0.966093850159263	0.89831998531672	0.908032807251354	0.922399436171278	0.934986373779719	0.92294169070929	0.931638382695278	0.911719036558613	0.947323345545888	0.946373475610737	0.861186145078427	0.752818526647403	0.911621255337771	0.75829014335296	0.867478596838416	0.836687991967545	0.889901345188994	0.665510886420876	0.919449376618063	0.913951392961345	0.901512348887332	0.910571604180066	0.966186213006402	0.940489471492767	0.936498753161061	0.920278280644924	0.914849325185104	0.923639145345496	0.952128324311615	0.959249133913114	0.765715021002185	0.918085609831849	0.798322039812522	0.953507065550245	0.934592625875795	0.944394901262729	0.968987030690958	0.744022294516678	0.860061673225817	0.924597868863752	0.926018639725208	0.941497887092308	0.945179351193116	0.883195491100028	0.923973991306215	0.943235407974682	0.91423923485518	0.914123646125234	0.891376206101107	0.928544697826902	0.870908632271272	0.747645840317875	0.925316850453114	0.783635126544035	0.856084107937832	0.944359249170551	0.949833468892298	0.887139813948913	0.934791989277532	0.950922109897758	0.942959063730565	0.887250090468681	0.903572964458365	0.860228889577155	0.934288805836853	0.938356284619596	0.873871077840396	0.949726927571788	0.92808600474928	0.93645550559768	0.952215293993607	0.92503410365392	0.872870430183177	0.855239384590567	0.9592886451328	0.664203185210075	0.96267205704123	0.93924101409149	0.932922879902333	0.95189765931922	0.923893430289266	0.915857549947993	0.943214599895481	0.967311288808884	0.926979585417366	0.945083858120774	0.767996630572495	0.934781110230055	0.902005733227532	0.940637008418362	0.937238498224186	0.916283600905921
cg03233224	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03247301	0.506715762289181	0.862769189158565	0.627556757141278	0.837863374280286	0.591997843718464	0.621397761803408	0.626160011048442	0.436016834007813	0.555956089562529	0.49979158160702	0.853358588614121	0.85773313299427	0.67145523134443	0.19105171683091	0.737975291547209	0.644160440184354	0.323811482796351	0.716057475804265	0.220530637509772	0.405547603091089	0.524522595242222	0.562963470779042	0.16144367089214	0.822442652960898	0.310097944944892	0.49122265669924	0.545078706843238	0.525266494939955	0.405083708800496	0.517670348371975	0.38022107979127	0.818993224823975	0.798766806347438	0.857569419503321	0.873455076013713	0.112484900391233	0.181726925654539	0.907762419195353	0.57929285249909	0.299600841316539	0.883604990773938	0.633615097400822	0.554527973770476	0.549891717573584	0.230595388446258	0.517863640017516	0.261828286510854	0.371303132916252	0.571788533418833	0.57632866655141	0.370412184952577	0.650044902364531	0.405405271704958	0.654804417114697	0.800065407236983	0.471170640774279	0.478536392112191	0.513978669122739	0.860806838581016	0.622775307054866	0.79970303007726	0.640720831056475	0.858663463241491	0.327420540454198	0.496665903822307	0.422155038843812	0.663466395817058	0.670367172864993	0.580087979519659	0.654416289473311	0.497134444955029	0.618795813991307	0.591402664081702	0.283624521053459	0.89224511971197	0.555043153020199	0.841804619347435	0.188942714150692	0.585184622417637	0.632102008694635	0.323199869626105	0.503681762376981	0.214392605346626	0.546415704392514	0.571401985816058	0.312838501280575	0.535708688621478	0.846975467797755	0.55683808574665	0.890193520100943	0.580212930161097	0.530499118232857	0.782302785237151	0.404381105821956	0.56242228329776	0.768489784437112	0.843132948791519	0.499268090357117	0.56164086407128
cg03272020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03272958	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03280759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03287616	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03305017	0.85553786194321	0.893122401863324	0.810522526849959	0.870228687939415	0.838910373340887	0.524634261078527	0.871605230502175	0.455086812845734	0.893959727201577	0.66483862333859	0.938144318704876	0.936488599091472	0.841346581327225	0.684701329664012	0.769092668383368	0.669937798134612	0.854117445552374	0.797286686940974	0.821350521662334	0.797157646658708	0.721801121459431	0.610403745058761	0.80693545704676	0.961689861999729	0.464486380451387	0.87981731248928	0.744885148468961	0.920814149017366	0.724008610027319	0.890802383545328	0.581676789235374	0.688052658355132	0.910200459026305	0.890667218612469	0.929014361078398	0.948065898717808	0.94046147896785	0.914733925273618	0.912342788609177	0.902216742671097	0.919522105491175	0.807961726098653	0.685844804591051	0.964639585749601	0.909722605380206	0.828487416983017	0.865907570196425	0.713059677081051	0.806185238010536	0.905802444082921	0.812070421546133	0.758080225369496	0.825651171313317	0.73736007493845	0.832148930810008	0.817403335059086	0.779146169287739	0.856265045295288	0.795000654122615	0.788298114788807	0.824960727455992	0.387226720670416	0.722580484320281	0.939609833004436	0.913018198273409	0.762789498363062	0.776126991413036	0.934372194379954	0.912272579721958	0.76179238555367	0.910263402432727	0.898611493252156	0.9434516703747	0.681283592277939	0.506069987522603	0.87619544843102	0.656051006935581	0.93489100908212	0.820645118416401	0.663292320804249	0.882909331173843	0.800481013103747	0.712619175314463	0.904424682069185	0.791658718873436	0.842832052159914	0.935399546976716	0.912148656628563	0.847204437476068	0.889431539155694	0.928124273097815	0.824607936744696	0.917391926629425	0.799189738952922	0.545377843237706	0.934085813839875	0.790834018257174	0.871069845548157	0.870277668998221
cg03329408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03335128	0.924943337534997	0.927800358747242	0.924089234291341	0.908646064893058	0.902039143348908	0.923851448762515	0.881380882306117	0.945187229721227	0.885771090621565	0.931567501376664	0.934161053577509	0.902789360198053	0.945039922712235	0.917565975097183	0.920234107692933	0.927403585765557	0.918653740951125	0.94400841278598	0.912553395206298	0.934291516886924	0.917347894297775	0.87617648819678	0.928992863358431	0.895621451387307	0.920646782462428	0.921595813858352	0.902147724774922	0.958818169802228	0.931155495538268	0.890197317085168	0.946217592802006	0.937321356820123	0.923276259159011	0.93335634853167	0.917280993823809	0.942031870729425	0.935070620497638	0.913785144300248	0.834127102106901	0.935171202901426	0.850935134604121	0.92263439880037	0.905331530347611	0.899740043442954	0.914389935895638	0.929776483448695	0.941854052120031	0.90431377688723	0.943433994081018	0.900318713794402	0.906097137397872	0.905565231372642	0.910340238867197	0.830869928296628	0.901102190676397	0.923392654566522	0.936351816355218	0.94926624821423	0.912753985950607	0.897812553727156	0.910443069722872	0.92286362768697	0.910837753475538	0.935953700207672	0.922795689581615	0.886886265952972	0.919830464311874	0.924936500973805	0.877800170886961	0.947730047906965	0.923292662913421	0.884361183267205	0.927054178397263	0.871311077209802	0.928784272417788	0.920657217015546	0.955769051429825	0.935145088060808	0.918882808718869	0.925830825276129	0.945735252167281	0.923938942134914	0.951352022077042	0.933278684690229	0.890685240524825	0.923094008038451	0.923942268862421	0.885033004397123	0.939794248281498	0.881360143621508	0.861104688027335	0.904468440938907	0.930993861505804	0.930986131148746	0.911969301021586	0.920852547883733	0.930090278355861	0.935361783743574	0.914378395053812
cg03336458	0.917676194904531	0.885935940407266	0.875410363261817	0.908224843209583	0.912875026927302	0.882076447214323	0.875052308682668	0.909585024906013	0.915086639901832	0.956227892206476	0.898135700483641	0.910398686759445	0.911465989034142	0.944245677740097	0.890619672764773	0.942158662659101	0.909688358997383	0.86120851858433	0.945027910739102	0.921383148517257	0.872724148668946	0.865488013201611	0.889918530763733	0.923532071078416	0.916416598148718	0.873395758470694	0.883420733157567	0.89584657047445	0.9343939246252	0.87168882223924	0.916139777903033	0.892780282275197	0.948214425290316	0.909467480034309	0.919252523296157	0.933581964646505	0.937099888695433	0.900535090304411	0.884608796796274	0.914086522618468	0.902895940765476	0.935647685525667	0.912325482263829	0.909944586177697	0.894542934057947	0.870513014597893	0.934288305108287	0.915050775653274	0.950185158205684	0.870754288572457	0.897919550774743	0.877479056678154	0.943927690643036	0.835077168094833	0.901802679153371	0.899535934955913	0.870692203526646	0.857359409986857	0.932585485511462	0.860299265863136	0.936618474797896	0.920425479196843	0.905663237391091	0.894463864710005	0.882631143077577	0.911142517695018	0.891536571004374	0.951780348189219	0.923963380434777	0.91564589848346	0.930180451973818	0.902691902554406	0.896188547193098	0.957362596799729	0.914460080430878	0.882505008038986	0.914151452765002	0.911673609800447	0.895702580142283	0.872381188182	0.951414831900687	0.883914935388988	0.909158996507955	0.889453516446528	0.843702909015162	0.951242870190068	0.90815642512608	0.921523898088237	0.941570306163367	0.867260987862956	0.960492666137145	0.833593294602267	0.888334875793539	0.960009490531391	0.851391593778798	0.918884677933177	0.955910741095373	0.891609306150634	0.883955360622105
cg03342862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03344608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
cg03370330	0.507502050965042	0.637916044862662	0.300026974883598	0.423477210850855	0.347835231046064	0.399950984937491	0.764758086225077	0.237134127783603	0.357761455333224	0.441279151644939	0.297344870882401	0.656554807319128	0.72215304445033	0.190110789378357	0.701163964644673	0.547568654184978	0.250990531428152	0.353310528456969	0.909645313975289	0.28459834891777	0.452809533541053	0.441709293969212	0.145486157239613	0.547852505823993	0.261467119592039	0.76287063010492	0.266034065751239	0.24537693785907	0.207980513318697	0.412338994010789	0.247474217168819	0.456106935052065	0.160750182524913	0.205988039862286	0.576277351997629	0.0825403235851224	0.176814710079458	0.241279419685681	0.59746847933447	0.38372501135876	0.801008143574203	0.510699557376506	0.463187483973115	0.165974733438408	0.318363193976768	0.473779986156215	0.209256700810823	0.335867288838513	0.197194046505686	0.581423574147831	0.29930812412751	0.880311651474709	0.0954315115881871	0.596747933059453	0.45904744783763	0.336582520448421	0.2391153886085	0.293348804934061	0.25492386412669	0.409093789161938	0.26392136082852	0.111098669535895	0.345556323851409	0.563458252940341	0.938246889016132	0.384791458055752	0.24954623289922	0.592691530343002	0.298893912208379	0.492565518384604	0.302397854430941	0.469459115413256	0.369206346319072	0.268695821436981	0.451928114271419	0.34542849249371	0.328517054027326	0.142490212020686	0.293456586065193	0.394544183739127	0.234970587517681	0.293216257095499	0.196426874134499	0.316189979085687	0.308877914555832	0.162521131002558	0.562617565645358	0.225756924060784	0.176649817659545	0.608809202524935	0.916348520484067	0.58567348285261	0.294982329340633	0.089254060255921	0.295864256528114	0.838572507040152	0.794152861830741	0.47240499894931	0.366192713331011
cg03374148	0.813920130331984	0.875444826534021	0.870569830419175	0.562797900194776	0.699284773975634	0.868929114290568	NA	0.744462679319361	0.286225598061144	0.73340414524028	0.61543459559231	0.863980681951937	0.825948478692968	0.100946387504865	0.870066749441322	NA	0.776231417418166	0.390301132130729	0.937920618413482	0.249348612016492	0.463620504727517	0.579248976906777	0.150678070813679	0.783134578166029	0.183964718750273	0.830968756541915	0.313992311602304	0.705331902579445	0.568347236648047	0.513675690646263	0.164640046092931	0.555864252270773	0.553138982960468	0.693597016964858	0.84405756677635	0.588646769109245	0.178180595250068	0.847804792427794	0.483636732959868	0.256107291795936	0.916341811182727	0.775852966276484	0.444929611773466	0.877509141771438	0.901930425421525	0.626590843632579	0.802483379561009	NA	0.586275924421341	0.904048212707122	0.541566021959429	0.87834978138439	NA	0.691968713200148	0.800303260130059	0.316325149345778	0.505499897474209	0.273358495061527	NA	0.747805096609781	0.166024823036188	0.123280880758479	0.907545438067529	0.618526279523216	0.889963435791463	0.825218927483869	0.813750342938019	0.842732362512225	NA	0.473860448008341	0.424484930099712	0.848893840237842	0.696103659471771	0.204177307662526	0.905480891478824	0.869979900492722	0.892123593833877	NA	0.842345337894864	0.382200748910247	0.225085741961851	0.695424056878501	NA	0.701848683387262	0.393553616363755	NA	0.918644562897603	0.653323335396369	NA	0.863348196372234	0.781224458701251	0.799315434165156	NA	0.303640022798889	0.893141661312823	0.886727355443462	0.694554728466722	0.555614369078303	0.758751150023829
